legacy_id,kode,name,kenaikan_harga
1,CAB-NEP,NEPEL,0
2,CAB-GAS,GAS,0
3,CAB-ASE,ASESORIS,0
4,CAB-VAL,VALVE,0
5,CAB-REF,REFRIGERATION,0
6,CAB-ISO,ISOLASI,0
7,CAB-DUC,DUCTING,0
8,CAB-INS,INSTRUMENT,0
9,CAB-TOO,TOOL,0
10,CAB-SEL,SELANG,0
11,CAB-FIT,FITTING,0
12,CAB-PE,PE,0
13,CAB-PIP,PIPA,0
14,CAB-REG,REGULATOR,0
15,CAB-ASS,ASS,0
16,CAB-BES,BESI,0
17,CAB-CT,CT,0
18,CAB-0000,0000,0
19,CAB-PTBB,"PIPA BTG BRASSCO",0
20,CAB-ASE-ACE,"ASESORIS ACE FLUX",0
21,CAB-ASE-BUR,"ASESORIS BURKET",0
22,CAB-ASE-CAS,"ASESORIS CASTEL",0
23,CAB-ASE-DAD,"ASESORIS DADO",0
24,CAB-ASE-ETE,"ASESORIS ETERNA",0
25,CAB-ASE-FIR,"ASESORIS FIREKING",0
26,CAB-ASE-FUE,"ASESORIS FUEL",0
27,CAB-ASE-FUJ,"ASESORIS FUJI",0
28,CAB-ASE-GER,"ASESORIS GERMANY",0
29,CAB-ASE-GMT,"ASESORIS GMT",0
30,CAB-ASE-HAR,"ASESORIS HARRIS",0
31,CAB-ASE-HS,"ASESORIS HS",0
32,CAB-ASE-IMP,"ASESORIS IMPERIAL",0
33,CAB-ASE-INS,"ASESORIS INSFOIL",0
34,CAB-ASE-JET,"ASESORIS JETS",0
35,CAB-ASE-KMT,"ASESORIS KMT",0
36,CAB-ASE-LOK,"ASESORIS LOKAL",0
37,CAB-ASE-MOR,"ASESORIS MORIS",0
38,CAB-ASE-NON,"ASESORIS NONE",0
39,CAB-ASE-PAP,"ASESORIS PAPS",0
40,CAB-ASE-RAD,"ASESORIS RADAR",0
41,CAB-ASE-ROT,"ASESORIS ROTHENBERGER",0
42,CAB-ASE-SAE,"ASESORIS SAEKI",0
43,CAB-ASE-SUP,"ASESORIS SUPERLON",0
44,CAB-ASE-THE,"ASESORIS THERMAFLEX",0
45,CAB-ASE-TOZ,"ASESORIS TOZEN",0
46,CAB-ASE-UNI,"ASESORIS UNI-D",0
47,CAB-ASE-WAV,"ASESORIS WAVIN",0
48,CAB-ASE-WIK,"ASESORIS WIKA",0
49,CAB-ASE-YAM,"ASESORIS YAMATO",0
50,CAB-ASE-YUT,"ASESORIS YUTA",0
51,CAB-ASE-ZEK,"ASESORIS ZEKI",0
52,CAB-ASS-JOH,"ASS JOHNSON",0
53,CAB-ASS-NON,"ASS NONE",0
54,CAB-ASS-OND,"ASS ONDA",0
55,CAB-BES-LOK,"BESI LOKFOM",0
56,CAB-CT-NON,"CT NONE",0
57,CAB-DUC-AER,"DUCTING AEROTAPE",0
58,CAB-DUC-BEL,"DUCTING BELVER",0
59,CAB-DUC-DEC,"DUCTING DEC",0
60,CAB-DUC-FIR,"DUCTING FIRST DUCT",0
61,CAB-DUC-IND,"DUCTING INDOFLEX",0
62,CAB-DUC-LOK,"DUCTING LOKFOM",0
63,CAB-DUC-MAS,"DUCTING MASTER",0
64,CAB-DUC-MOD,"DUCTING MODULFLEX",0
65,CAB-DUC-NON,"DUCTING NONE",0
66,CAB-DUC-POL,"DUCTING POLYAIRE",0
67,CAB-DUC-PSF,"DUCTING PSF",0
68,CAB-DUC-SAR,"DUCTING SARANA",0
69,CAB-DUC-SKY,"DUCTING SKY DUCT",0
70,CAB-DUC-TIL,"DUCTING TILEMENT",0
71,CAB-FIT-BES,"FITTING BESI",0
72,CAB-FIT-BES-DUP2-R72,"FITTING BESI LAS",0
73,CAB-FIT-BES-DUP3-R73,"FITTING BESI SCH",0
74,CAB-FIT-FOR,"FITTING FORBES",0
75,CAB-FIT-GMT,"FITTING GMT",0
76,CAB-FIT-KMT,"FITTING KMT",0
77,CAB-FIT-NIB,"FITTING NIBCO",0
78,CAB-FIT-NON,"FITTING NONE",0
79,CAB-FIT-PSF,"FITTING PSF",0
80,CAB-FIT-PVC,"FITTING PVC",0
81,CAB-ASE-RIF,"FITTING RIFENG",0
82,CAB-FIT-RUC,"FITTING RUCIKA",0
83,CAB-FIT-SER,"FITTING SERA",0
84,CAB-FIT-STA,"FITTING STAINLESS",0
85,CAB-FIT-TOZ,"FITTING TOZEN",0
86,CAB-FIT-TSP,"FITTING TSP",0
87,CAB-FIT-VIT,"FITTING VIT",0
88,CAB-PIP-WAV,"FITTING WAVIN",0
89,CAB-FLA-BES,"FLANGE BESI",0
90,CAB-FLE-STA,"FLEXIBLE STAINLESS",0
91,CAB-FLE-TEC,"FLEXIBLE TECHNO",0
92,CAB-FLE-TOZ,"FLEXIBLE TOZEN",0
93,CAB-GAS-AIC,"GAS AICHI",0
94,CAB-GAS-AMC,"GAS AMCARE",0
95,CAB-GAS-AMI,"GAS AMICO",0
96,CAB-GAS-AMP,"GAS AMPY EMAIL",0
97,CAB-GAS-BRI,"GAS BRIDGESTONE",0
98,CAB-GAS-CNU,"GAS CNU",0
99,CAB-GAS-DUR,"GAS DURATEC",0
100,CAB-GAS-ELS,"GAS ELSTER",0
101,CAB-GAS-GAL,"GAS GALA",0
102,CAB-GAS-GAL-DUP2-R102,"GAS GALLUS",0
103,CAB-GAS-GMT,"GAS GMT",0
104,CAB-GAS-HAN,"GAS HANKOOK",0
105,CAB-GAS-HIC,"GAS HICOOK",0
106,CAB-GAS-KAN,"GAS KANSAI",0
107,CAB-GAS-MET,"GAS METAGOMA",0
108,CAB-GAS-NON,"GAS NONE",0
109,CAB-GAS-SAF,"GAS SAFE GAS",0
110,CAB-GAS-SHI,"GAS SHINWOO",0
111,CAB-GAS-STA,"GAS STARMED",0
112,CAB-GAS-TES,"GAS TESTER",0
113,CAB-INS-BEN,"INSTRUMENT BENETECH",0
114,CAB-INS-BLU,"INSTRUMENT BLUE WHITE",0
115,CAB-INS-BR,"INSTRUMENT BR",0
116,CAB-INS-CAM,"INSTRUMENT CAMEL",0
117,CAB-INS-EGO,"INSTRUMENT EGO",0
118,CAB-INS-FIR,"INSTRUMENT FIREGUARD",0
119,CAB-INS-FIR-DUP2-R119,"INSTRUMENT FIREKING",0
120,CAB-INS-FIS,"INSTRUMENT FISHER",0
121,CAB-INS-FOR,"INSTRUMENT FORBES",0
122,CAB-INS-GAL,"INSTRUMENT GALA",0
123,CAB-INS-GMT,"INSTRUMENT GMT",0
124,CAB-INS-HAR,"INSTRUMENT HARRIS",0
125,CAB-INS-HON,"INSTRUMENT HONEYWELL",0
126,CAB-INS-KYO,"INSTRUMENT KYORITZU",0
127,CAB-INS-MS,"INSTRUMENT MS",0
128,CAB-INS-NAG,"INSTRUMENT NAGANO",0
129,CAB-INS-NON,"INSTRUMENT NONE",0
130,CAB-INS-PM,"INSTRUMENT PM",0
131,CAB-INS-POT,"INSTRUMENT POTTER",0
132,CAB-INS-RED,"INSTRUMENT RED ANT",0
133,CAB-INS-REF,"INSTRUMENT REFCO",0
134,CAB-INS-ROB,"INSTRUMENT ROBINAIR",0
135,CAB-INS-SAG,"INSTRUMENT SAGINOMIYA",0
136,CAB-INS-SAM,"INSTRUMENT SAMYANG",0
137,CAB-INS-SIK,"INSTRUMENT SIKA",0
138,CAB-INS-SMC,"INSTRUMENT SMC",0
139,CAB-INS-TEC,"INSTRUMENT TECSIS",0
140,CAB-INS-TOK,"INSTRUMENT TOKICO",0
141,CAB-INS-VIP,"INSTRUMENT VIP",0
142,CAB-INS-VT,"INSTRUMENT VT",0
143,CAB-INS-WIK,"INSTRUMENT WIKA",0
144,CAB-INS-YAM,"INSTRUMENT YAMAMOTO",0
145,CAB-INS-ZEI,"INSTRUMENT ZEIL",0
146,CAB-ISO-ACC,"ISOLASI ACCO",0
147,CAB-ISO-ACE,"ISOLASI ACE FLUX",0
148,CAB-ISO-API,"ISOLASI APIC",0
149,CAB-ISO-ARM,"ISOLASI ARMF",0
150,CAB-ISO-CAM,"ISOLASI CAMEL",0
151,CAB-ISO-CEL,"ISOLASI CELF",0
152,CAB-ISO-CSR,"ISOLASI CSR",0
153,CAB-ISO-DT,"ISOLASI DT FOIL",0
154,CAB-ISO-FUJ,"ISOLASI FUJI",0
155,CAB-ISO-IND,"ISOLASI INDOFLEX",0
156,CAB-ISO-INS,"ISOLASI INSFOIL",0
157,CAB-ISO-INS-DUP2-R157,"ISOLASI INSUTEK",0
158,CAB-ISO-KOR,"ISOLASI KORFLEK",0
159,CAB-ISO-MOD,"ISOLASI MODULFLEX",0
160,CAB-ISO-NON,"ISOLASI NONE",0
161,CAB-ISO-POL,"ISOLASI POLY",0
162,CAB-ISO-POL-DUP2-R162,"ISOLASI POLYFOIL",0
163,CAB-ISO-PRO,"ISOLASI PROFLEX",0
164,CAB-ISO-SAN,"ISOLASI SANSUI",0
165,CAB-ISO-SKY,"ISOLASI SKY DUCT",0
166,CAB-ISO-SUP,"ISOLASI SUPERLON",0
167,CAB-ISO-THE,"ISOLASI THERMAFLEX",0
168,CAB-ISO-WON,"ISOLASI WONTAPE",0
169,CAB-NEP-CAS,"NEPEL CASTEL",0
170,CAB-NEP-GMT,"NEPEL GMT",0
171,CAB-NEP-KUN,"NEPEL KUNINGAN",0
172,CAB-NEP-NON,"NEPEL NONE",0
173,CAB-NEP-PSF,"NEPEL PSF",0
174,CAB-NEP-RIF,"NEPEL RIFENG",0
175,CAB-NEP-SMC,"NEPEL SMC",0
176,CAB-PE-FLE,"PE FLEXY",0
177,CAB-PE-KMT,"PE KMT",0
178,CAB-PE-RIF,"PE RIFENG",0
179,CAB-PIP-BES,"PIPA BESI",0
180,CAB-PIP-BRA,"PIPA BRASSCO",0
181,CAB-PIP-CRA,"PIPA CRANE ENFIELD",0
182,CAB-PIP-KEM,"PIPA KEMBLA",0
183,CAB-PIP-NON,"PIPA NONE",0
184,CAB-PIP-PVC,"PIPA PVC",0
185,CAB-PIP-RIF,"PIPA RIFENG",0
186,CAB-PIP-RUC,"PIPA RUCIKA",0
187,CAB-PIP-WAV-DUP2-R187,"PIPA WAVIN",0
188,CAB-REF-ALC,"REFRIGERATION ALCO",0
189,CAB-REF-ANA,"REFRIGERATION ANACONDA",0
190,CAB-REF-CAS,"REFRIGERATION CASTEL",0
191,CAB-REF-DUP,"REFRIGERATION DUPONT",0
192,CAB-REF-EME,"REFRIGERATION EMERSON",0
193,CAB-REF-GEN,"REFRIGERATION GENETRON",0
194,CAB-REF-GMT,"REFRIGERATION GMT",0
195,CAB-REF-NON,"REFRIGERATION NONE",0
196,CAB-REF-PSF,"REFRIGERATION PSF",0
197,CAB-REF-REF,"REFRIGERATION REFRIGERANT",0
198,CAB-REF-SUN,"REFRIGERATION SUNISO",0
199,CAB-REG-bel,"REGULATOR belg",0
200,CAB-REG-CIG,"REGULATOR CIG",0
201,CAB-REG-DN,"REGULATOR DN",0
202,CAB-REG-DOM,"REGULATOR DOMAX",0
203,CAB-REG-FIS,"REGULATOR FISHER",0
204,CAB-REG-FUJ,"REGULATOR FUJIKOKI",0
205,CAB-REG-HAR,"REGULATOR HARRIS",0
206,CAB-REG-HWA,"REGULATOR HWAYOUNG",0
207,CAB-REG-ito,"REGULATOR ito",0
208,CAB-REG-KOS,"REGULATOR KOSANGAS",0
209,CAB-REG-NAG,"REGULATOR NAGANO",0
210,CAB-REG-NON,"REGULATOR NONE",0
211,CAB-REG-PRO,"REGULATOR PROHEX",0
212,CAB-REG-PTZ,"REGULATOR PTZ",0
213,CAB-REG-RED,"REGULATOR RED ANT",0
214,CAB-REG-REG,"REGULATOR REGO",0
215,CAB-REG-SMC,"REGULATOR SMC",0
216,CAB-REG-WIN,"REGULATOR WINGAS",0
217,CAB-REG-YAM,"REGULATOR YAMATO",0
218,CAB-REG-YUN,"REGULATOR YUNG SHEN",0
219,CAB-SEL-BRI,"SELANG BRIDGESTONE",0
220,CAB-SEL-COR,"SELANG CORONA",0
221,CAB-SEL-GMT,"SELANG GMT",0
222,CAB-SEL-MET,"SELANG METAGOMA",0
223,CAB-SEL-NON,"SELANG NONE",0
224,CAB-SEL-PAP,"SELANG PAPS",0
225,CAB-SEL-RIF,"SELANG RIFENG",0
226,CAB-TOO-ASI,"TOOL ASIAN FIRST",0
227,CAB-TOO-CAM,"TOOL CAMPING GAS",0
228,CAB-TOO-EAS,"TOOL EAST BRAND",0
229,CAB-TOO-FUJ,"TOOL FUJI",0
230,CAB-TOO-GLO,"TOOL GLOOR",0
231,CAB-TOO-GMT,"TOOL GMT",0
232,CAB-TOO-HIC,"TOOL HICOOK",0
233,CAB-TOO-HS,"TOOL HS",0
234,CAB-TOO-IMP,"TOOL IMPERIAL",0
235,CAB-TOO-KOV,"TOOL KOVET",0
236,CAB-TOO-KYO,"TOOL KYOWA",0
237,CAB-TOO-NON,"TOOL NONE",0
238,CAB-TOO-NUR,"TOOL NURGAS",0
239,CAB-TOO-PAP,"TOOL PAPS",0
240,CAB-TOO-PM,"TOOL PM",0
241,CAB-TOO-PRO,"TOOL PROHEX",0
242,CAB-TOO-RED,"TOOL RED ANT",0
243,CAB-TOO-RIF,"TOOL RIFENG",0
244,CAB-TOO-ROB,"TOOL ROBINAIR",0
245,CAB-TOO-SEL,"TOOL SELERY",0
246,CAB-TOO-SPO,"TOOL SPOT",0
247,CAB-TOO-STA,"TOOL STARWARS",0
248,CAB-TOO-YAM,"TOOL YAMATO",0
249,CAB-VAL-ALC,"VALVE ALCO",0
250,CAB-VAL-AMI,"VALVE AMICO",0
251,CAB-VAL-BR,"VALVE BR",0
252,CAB-VAL-BUR,"VALVE BURKET",0
253,CAB-VAL-CAS,"VALVE CASTEL",0
254,CAB-VAL-COM,"VALVE COMAP",0
255,CAB-VAL-DN,"VALVE DN",0
256,CAB-VAL-EME,"VALVE EMERSON",0
257,CAB-VAL-FIR,"VALVE FIREKING",0
258,CAB-VAL-GAL,"VALVE GALA",0
259,CAB-VAL-GMT,"VALVE GMT",0
260,CAB-VAL-HAT,"VALVE HATO",0
261,CAB-VAL-HON,"VALVE HONEYWELL",0
262,CAB-VAL-HS,"VALVE HS",0
263,CAB-VAL-JET,"VALVE JETS",0
264,CAB-VAL-JOK,"VALVE JOKWANG",0
265,"CAB-VAL-K B","VALVE K BRAND",0
266,CAB-VAL-KIT,"VALVE KITZ",0
267,CAB-VAL-MA,"VALVE MA",0
268,CAB-VAL-MIT,"VALVE MITZU",0
269,CAB-VAL-MIZ,"VALVE MIZU",0
270,CAB-VAL-NDV,"VALVE NDV",0
271,CAB-VAL-NON,"VALVE NONE",0
272,CAB-VAL-OND,"VALVE ONDA",0
273,CAB-VAL-PVC,"VALVE PVC",0
274,CAB-VAL-RIF,"VALVE RIFENG",0
275,CAB-VAL-SAM,"VALVE SAMYANG",0
276,CAB-VAL-SAT,"VALVE SATA",0
277,CAB-VAL-SC,"VALVE SC",0
278,CAB-VAL-SHO,"VALVE SHOWA",0
