legacy_id,sku,name,product_category_kode,cabang_id,cost_price,sell_price,description,uom_name,supplier_code,harga_batas,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,is_manufacture,is_raw_material,is_active
1,CAB-ACBB060915,"BRASSCO PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m",CAB-PIP-BRA,3,500000,763525,"[legacy:inventory_cab product_code=ACBB060915 row_id=1]",ROLL,,763525,0,Inklusif,11,1,10000,BRASSCO,500000,0,0,1
2,CAB-ACBB060930,"BRASSCO PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m",CAB-PIP-BRA,3,750000,1144176,"[legacy:inventory_cab product_code=ACBB060930 row_id=2]",ROL,,1144176,0,Inklusif,11,1,10000,BRASSCO,750000,0,0,1
3,CAB-ACBB060932,"BRASSCO PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30m",CAB-PIP-BRA,3,1962000,2183525,"[legacy:inventory_cab product_code=ACBB060932 row_id=3]",ROLL,,2183525,0,Inklusif,11,1,10000,BRASSCO,0,0,0,1
4,CAB-ACBB060933,"BRASSCO PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 30M",CAB-PIP-BRA,3,1546831,2674505,"[legacy:inventory_cab product_code=ACBB060933 row_id=4]",ROLL,,2674505,0,Inklusif,11,1,10000,BRASSCO,0,0,0,1
5,CAB-acbb061315,"BRASSCO PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M",CAB-PIP-BRA,3,550000,1166231,"[legacy:inventory_cab product_code=acbb061315 row_id=5]",ROLL,,1166231,0,Inklusif,11,1,10000,BRASSCO,550000,0,0,1
6,CAB-ACBB061330,"BRASSCO PIPA SET 1/4 T0.45mm + 1/2 T0.56MM X 30M",CAB-PIP-BRA,3,1067400,2332462,"[legacy:inventory_cab product_code=ACBB061330 row_id=6]",ROL,,2332462,0,Inklusif,11,1,10000,BRASSCO,1067400,0,0,1
7,CAB-ACBB061332,"BRASSCO PIPA SET 1/4 T0.61mm + 1/2 T0.61mm x 30m",CAB-PIP-BRA,3,2356500,2622758,"[legacy:inventory_cab product_code=ACBB061332 row_id=7]",ROLL,,2622758,0,Inklusif,11,1,10000,BRASSCO,1745520,0,0,1
8,CAB-ACBB061333,"BRASSCO PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 30M",CAB-PIP-BRA,3,1916109,3248786,"[legacy:inventory_cab product_code=ACBB061333 row_id=8]",ROLL,,3248786,0,Inklusif,11,1,10000,BRASSCO,2278690,0,0,1
9,CAB-ACBB061615,"BRASSCO PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 15M",CAB-PIP-BRA,3,850000,1660996,"[legacy:inventory_cab product_code=ACBB061615 row_id=9]",ROLL,,1660996,0,Inklusif,11,1,10000,BRASSCO,850000,0,0,1
10,CAB-ACBB061630,"BRASSCO PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 30M",CAB-PIP-BRA,3,1640000,3321990,"[legacy:inventory_cab product_code=ACBB061630 row_id=10]",ROL,,3321990,0,Inklusif,11,1,10000,BRASSCO,1640000,0,0,1
11,CAB-ACBB061631,"BRASSCO PIPA SET 1/4 T0.61MM + 5/8 T0.71MM X 30M",CAB-PIP-BRA,3,2085512,3373739,"[legacy:inventory_cab product_code=ACBB061631 row_id=11]",ROLL,,3373739,0,Inklusif,11,1,10000,BRASSCO,2300000,0,0,1
12,CAB-ACBB061633,"BRASSCO PIPA SET 1/4 T0.76MM + 5/8 T0.89MM X 30M",CAB-PIP-BRA,3,2345486,4057827,"[legacy:inventory_cab product_code=ACBB061633 row_id=12]",ROLL,,4057827,0,Inklusif,11,1,10000,BRASSCO,2846106,0,0,1
13,CAB-ACBB091615,"BRASSCO PIPA SET 3/8 T0.56mm X 5/8 T0.71mm X 15m",CAB-PIP-BRA,3,850000,1849058,"[legacy:inventory_cab product_code=ACBB091615 row_id=13]",ROLL,,1849058,0,Inklusif,11,1,10000,BRASSCO,850000,0,0,1
14,CAB-ACBB091630,"BRASSCO PIPA SET 3/8 T0.56mm X 5/8 T0.71mm X 30m",CAB-PIP-BRA,3,1860700,3696851,"[legacy:inventory_cab product_code=ACBB091630 row_id=14]",ROL,,3696851,0,Inklusif,11,1,10000,BRASSCO,1860700,0,0,1
15,CAB-ACBB091633,"BRASSCO PIPA SET 3/8 T0.81MM + 5/8 T0.89MM X 30M",CAB-PIP-BRA,3,2901470,5019589,"[legacy:inventory_cab product_code=ACBB091633 row_id=15]",ROLL,,5019589,0,Inklusif,11,1,10000,BRASSCO,3603278,0,0,1
16,CAB-ACBB091915,"BRASSCO PIPA SET 3/8 T0.56MM + 3/4 T0.71MM X 15M",CAB-PIP-BRA,3,1400000,2174787,"[legacy:inventory_cab product_code=ACBB091915 row_id=16]",ROLL,,2174787,0,Inklusif,11,1,10000,BRASSCO,940000,0,0,1
17,CAB-ACBB091930,"BRASSCO PIPA SET 3/8 T0.56MM + 3/4 T0.71MM X 30M",CAB-PIP-BRA,3,1880000,4142451,"[legacy:inventory_cab product_code=ACBB091930 row_id=17]",ROL,,4142451,0,Inklusif,11,1,10000,BRASSCO,1880000,0,0,1
18,CAB-ACBB091931,"BRASSCO PIPA SET 3/8 T0.61MM + 3/4 T0.71MM X 30M",CAB-PIP-BRA,3,1855431,4242102,"[legacy:inventory_cab product_code=ACBB091931 row_id=18]",ROLL,,4242102,0,Inklusif,11,1,10000,BRASSCO,2225534,0,0,1
19,CAB-ACBB091933,"BRASSCO PIPA SET 3/8 T0.81MM + 3/4 T0.89MM X 30M",CAB-PIP-BRA,3,2279700,5216485,"[legacy:inventory_cab product_code=ACBB091933 row_id=19]",ROLL,,5216485,0,Inklusif,11,1,10000,BRASSCO,2800069,0,0,1
20,CAB-ACBB131915,"BRASSCO PIPA SET 1/2 T0.61MM x 3/4 T0.71MM x 15M",CAB-PIP-BRA,3,1400000,2319841,"[legacy:inventory_cab product_code=ACBB131915 row_id=20]",ROLL,,2319841,0,Inklusif,11,1,10000,BRASSCO,1250000,0,0,1
21,CAB-ACBB131930,"BRASSCO PIPA SET 1/2 T 0.61MM + 3/4 T 0.71MM X 30M",CAB-PIP-BRA,3,2034900,4638418,"[legacy:inventory_cab product_code=ACBB131930 row_id=21]",ROLL,,4638418,0,Inklusif,11,1,10000,BRASSCO,2499390,0,0,1
22,CAB-acbb131933,"BRASSCO PIPA SET 1/2 T0.81MM + 3/4 T0.89MM x 30M",CAB-PIP-BRA,3,2509200,5744067,"[legacy:inventory_cab product_code=acbb131933 row_id=22]",ROLL,,5744067,0,Inklusif,11,1,10000,BRASSCO,3081955,0,0,1
24,CAB-acco009010,"ACCOFLEX 3/8cu",CAB-ISO-ACC,3,11875,12614,"[legacy:inventory_cab product_code=acco009010 row_id=24]",BTG,,12614,0,"Non Pajak",0,1,10000,ACCO,11875,0,0,1
25,CAB-acco009013,"ACCOFLEX 1/2cu",CAB-ISO-ACC,3,12350,13118,"[legacy:inventory_cab product_code=acco009013 row_id=25]",BTG,,13118,0,"Non Pajak",0,1,10000,ACCO,12350,0,0,1
26,CAB-acco009016,"ACCOFLEX 5/8cu",CAB-ISO-ACC,3,12350,13118,"[legacy:inventory_cab product_code=acco009016 row_id=26]",BTG,,13118,0,"Non Pajak",0,1,10000,ACCO,12350,0,0,1
27,CAB-acco009019,"ACCOFLEX 3/4cu (1/2ips)",CAB-ISO-ACC,3,14250,15136,"[legacy:inventory_cab product_code=acco009019 row_id=27]",BTG,,15136,0,"Non Pajak",0,1,10000,ACCO,14250,0,0,1
28,CAB-acco009022,"ACCOFLEX 7/8cu (1/2ips)",CAB-ISO-ACC,3,15200,16145,"[legacy:inventory_cab product_code=acco009022 row_id=28]",BTG,,16145,0,"Non Pajak",0,1,10000,ACCO,15200,0,0,1
29,CAB-acco009025,"ACCOFLEX 1cu (3/4ips)",CAB-ISO-ACC,3,15675,16650,"[legacy:inventory_cab product_code=acco009025 row_id=29]",BTG,,16650,0,"Non Pajak",0,1,10000,ACCO,15675,0,0,1
30,CAB-acco009028,"ACCOFLEX 1 1/8cu (1ips)",CAB-ISO-ACC,3,11500,17659,"[legacy:inventory_cab product_code=acco009028 row_id=30]",BTG,,17659,0,"Non Pajak",0,1,10000,ACCO,11500,0,0,1
31,CAB-acco009042,"ACCOFLEX 15/8cu (11/2ips)",CAB-ISO-ACC,3,22325,23714,"[legacy:inventory_cab product_code=acco009042 row_id=31]",BTG,,23714,0,"Non Pajak",0,1,10000,ACCO,22325,0,0,1
37,CAB-adpt003006,"ADAPTOR 1/8 NPT X 1/4 SAE",CAB-NEP-PSF,3,14500,17000,"[legacy:inventory_cab product_code=adpt003006 row_id=37]",bh],,17000,0,"Non Pajak",0,1,10000,PSF,15300,0,0,1
38,CAB-adpt006006,"ADAPTOR 1/4NPT x 1/4SAE",CAB-NEP-PSF,3,18700,22000,"[legacy:inventory_cab product_code=adpt006006 row_id=38]",bh],,22000,0,"Non Pajak",0,1,10000,PSF,18700,0,0,1
39,CAB-adpt009006,"ADAPTOR 3/8 NPT x 1/4 SAE",CAB-NEP-PSF,3,12500,16000,"[legacy:inventory_cab product_code=adpt009006 row_id=39]",bh],,16000,0,"Non Pajak",0,1,10000,PSF,12500,0,0,1
