legacy_product_id,sku,warehouse_id,rak_id,qty_available,qty_reserved,qty_min
1,CAB-ACBB060915,3,,0,0,1
2,CAB-ACBB060930,3,,0,0,1
3,CAB-ACBB060932,3,,3,6,1
4,CAB-ACBB060933,3,,2,3,1
5,CAB-acbb061315,3,,0,0,1
6,CAB-ACBB061330,3,,0,0,1
7,CAB-ACBB061332,3,,15,18,1
8,CAB-ACBB061333,3,,2,2,1
9,CAB-ACBB061615,3,,0,0,1
10,CAB-ACBB061630,3,,0,0,1
11,CAB-ACBB061631,3,,0,0,1
12,CAB-ACBB061633,3,,0,0,1
13,CAB-ACBB091615,3,,0,0,1
14,CAB-ACBB091630,3,,0,0,1
15,CAB-ACBB091633,3,,4,4,1
16,CAB-ACBB091915,3,,0,0,1
17,CAB-ACBB091930,3,,0,0,1
18,CAB-ACBB091931,3,,0,0,1
19,CAB-ACBB091933,3,,0,0,1
20,CAB-ACBB131915,3,,0,0,1
21,CAB-ACBB131930,3,,0,0,1
22,CAB-acbb131933,3,,0,0,1
24,CAB-acco009010,3,,0,0,1
25,CAB-acco009013,3,,0,0,1
26,CAB-acco009016,3,,0,0,1
27,CAB-acco009019,3,,0,0,1
28,CAB-acco009022,3,,0,0,1
29,CAB-acco009025,3,,0,0,1
30,CAB-acco009028,3,,0,0,1
31,CAB-acco009042,3,,0,0,1
37,CAB-adpt003006,3,,15,20,1
38,CAB-adpt006006,3,,40,47,1
39,CAB-adpt009006,3,,0,0,1
40,CAB-adpt009009,3,,0,0,1
42,CAB-adpt015009,3,,0,0,1
43,CAB-adpt015013,3,,0,0,1
44,CAB-adpt015016,3,,0,0,1
45,CAB-adpt020013,3,,0,0,1
46,CAB-adpt020016,3,,0,0,1
47,CAB-adpt020019,3,,0,0,1
48,CAB-adpt106006,3,,0,0,1
49,CAB-adpt109006,3,,0,0,1
50,CAB-adpt113006,3,,0,0,1
51,CAB-adpt113009,3,,0,0,1
52,CAB-adpt116006,3,,0,0,1
53,CAB-adpt116009,3,,0,0,1
