legacy_id,code,perusahaan,address,phone,email,handphone,fax,npwp,tempo_hutang,kontak_person,keterangan,cabang_id
1,CAB-A001,"Abdi Karya","08815706428/081318822202 jefri",-,,-,,,60,"(ARYVIDYAN HAMSUNI)","KNTR:66671637 [legacy:inventory_cab supplier_code=A001 row_id=1]",3
2,CAB-A002,Adil,"3922118  Jakarta","3155236,3142123",,-,,,60,"Ahin(PUTRA ADIL)","[legacy:inventory_cab supplier_code=A002 row_id=2]",3
3,CAB-A003,Aff,Jakarta,4611185,,-,,,60,Penny/Rico,"[legacy:inventory_cab supplier_code=A003 row_id=3]",3
4,CAB-A004,"Anen Nepel",Jakarta,0811950732,,-,,,60,Anen,"[legacy:inventory_cab supplier_code=A004 row_id=4]",3
5,CAB-A005,AER,Jakarta,9204761,,-,,,60,Michael,"[legacy:inventory_cab supplier_code=A005 row_id=5]",3
6,CAB-A006,Atui,Jakarta,6321172,,-,,,60,Atui,"[legacy:inventory_cab supplier_code=A006 row_id=6]",3
7,CAB-A007,ALCO,-,-,,-,,,30,ONG,"[legacy:inventory_cab supplier_code=A007 row_id=7]",3
8,CAB-A008,Airtekindo,Jakarta,55910708,,-,55910738,,60,WINA,"[legacy:inventory_cab supplier_code=A008 row_id=8]",3
9,CAB-A009,"Argo Mandiri Metalindo",Jakarta,-,,-,,,60,willy,"[legacy:inventory_cab supplier_code=A009 row_id=9]",3
10,CAB-A010,ADUMAS,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=A010 row_id=10]",3
11,CAB-A011,API,-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=A011 row_id=11]",3
12,CAB-A012,"PT AIR DUCT PANELINDO","JL DANAU SUNTER UTARA",65833343,,081310212344,,,60,JEFRI,"[legacy:inventory_cab supplier_code=A012 row_id=12]",3
13,CAB-A013,AIRCO,-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=A013 row_id=13]",3
14,CAB-A014,alkonusa,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=A014 row_id=14]",3
15,CAB-A015,"alvindo catur","jl.m.h lodan raya no 80-81 ruko lodan center",6902063,,-,6900756,,60,,"[legacy:inventory_cab supplier_code=A015 row_id=15]",3
16,CAB-A016,"arta trisna","taman palem lestari blok d10no8 cengkareng 081370344909 yana",55950264/559507,,-,55950264,,30,"p albert","55950768 DESI//085885272689 [legacy:inventory_cab supplier_code=A016 row_id=16]",3
17,CAB-A017,"PT AGSON INTERNATIONAL","JL PANGKALAN 5 NO 28 RT 001 RW 003 , KOTA BEKASI",021-8579988,info@agson.co.id,0811818475,,,30,,"[legacy:inventory_cab supplier_code=A017 row_id=17]",3
18,CAB-A019,aba,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=A019 row_id=18]",3
19,CAB-A020,"ADDY GEMILANG PERKASA","KOMP RUKO CLUSTER BLOK A NO 11 JL ISKANDR MUDATGRG 085691112255/55732165",55732165,,-,55732166,,30,FRANS,"[legacy:inventory_cab supplier_code=A020 row_id=19]",3
20,CAB-A021,"AKHMAD SYAFIK",TEGAL,-,,-,,,30,,"[legacy:inventory_cab supplier_code=A021 row_id=20]",3
21,CAB-A022,ARCARE,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=A022 row_id=21]",3
22,CAB-B001,"Buni Steel","jl buni no 28-30",6284838,,-,6284917,,60,"Wei Wei(WILLY LINGGA)","[legacy:inventory_cab supplier_code=B001 row_id=22]",3
23,CAB-B002,"Bidara Sari","08161108511/70019988/68937700 JL OTISTA RAYA NO 28",8192110,,-,8560767,,30,"(Hendra)no rek 2721795111(BCA)","8509603 [legacy:inventory_cab supplier_code=B002 row_id=23]",3
24,CAB-B003,"Budi Anugrah",Jakarta,6244822,,-,,,30,Okin,"[legacy:inventory_cab supplier_code=B003 row_id=24]",3
25,CAB-B004,"Bintang Terang","Kenari Mas  Jakarta",3910134,,-,,,30,Atek,"[legacy:inventory_cab supplier_code=B004 row_id=25]",3
26,CAB-B005,"Bintang Terang Gas",Jakarta,-,,-,,,60,,"[legacy:inventory_cab supplier_code=B005 row_id=26]",3
27,CAB-B006,"Buana Nittanindo Gas","081290171437  Jakarta",5669415,,-,5607469,,60,Tabri/AGUS,"[legacy:inventory_cab supplier_code=B006 row_id=27]",3
28,CAB-B007,"PT BINA INDOJAYA","JL MANGGA DUA RAYA BLOK E 33 RT 014/013 MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT",6249845,,081380005478,,,60,"Iing/Akhiong(POH ESTERLITA)","[legacy:inventory_cab supplier_code=B007 row_id=28]",3
29,CAB-B008,"PT BORDES NUSANTARA","jl manunggal v no 48 kedoya  Jakarta",58351878,,-,58351879,,60,Tomy/Maria,"0818818419 [legacy:inventory_cab supplier_code=B008 row_id=29]",3
30,CAB-B009,BRASSCO,-,-,,-,,,30,EDWARD,"[legacy:inventory_cab supplier_code=B009 row_id=30]",3
31,CAB-B010,"BINA TEHNIKA",Jakarta,02165305397,,-,02165307921,,60,"(Frans SUPIT)","0816968538 [legacy:inventory_cab supplier_code=B010 row_id=31]",3
32,CAB-B011,"PT Buana Teknik Mandiri","Jl.Duri Raya No.9,Tomang Barat-Jakarta Barat  Jakarta",5607468,,-,5607469,,60,Agus,"[legacy:inventory_cab supplier_code=B011 row_id=32]",3
33,CAB-B012,"Baja Abadi","pertokoan glodok jaya no 90-91 081285821190 fax:6498790 sari@badjaabadisentosa.co",6498752/55,,-,6011847,,60,"LIE KRISTIAN HARYANTO ( TANPA PPN)","KO IRWAN/maretsa 83822975/087882358651 [legacy:inventory_cab supplier_code=B012 row_id=33]",3
34,CAB-B013,BEST,-,-,,-,,,60,NANY,"[legacy:inventory_cab supplier_code=B013 row_id=34]",3
35,CAB-B014,burkert,-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=B014 row_id=35]",3
36,CAB-B015,"bintang jaya","jl letjen suprapto 104 B",4202511/4202644,,-,4200421,,30,athay,"[legacy:inventory_cab supplier_code=B015 row_id=36]",3
37,CAB-B016,BKJ,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=B016 row_id=37]",3
38,CAB-B017,"BERKAT LESTARI",082275070000//93111324,-,,-,,,30,"BP ANDREAS(Radik Andreas)","[legacy:inventory_cab supplier_code=B017 row_id=38]",3
39,CAB-B018,"BAJANA MULIA TAMA","JL RAYA BOGOR KM 34,5 NO 4A RT 01/001 KEL SUKAMAJU",87742198,,-,87742197,,60,"AGUS (081213056748","[legacy:inventory_cab supplier_code=B018 row_id=39]",3
40,CAB-C001,CORBY,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=C001 row_id=40]",3
41,CAB-C002,"Cv Abadi Medika","p heru 08129033327",98227908,,-,,,30,Heru,"[legacy:inventory_cab supplier_code=C002 row_id=41]",3
42,CAB-C003,Cku,"GUDANG CKU JL AGUNG PERKASA 9 BLOK A1 NO.21 6256511 Jakarta","6266269,6266267",,-,6296766,,60,"UNTUNG SOETJIPTO","[legacy:inventory_cab supplier_code=C003 row_id=42]",3
43,CAB-C004,"Cipta Sukses Bersama","Kenari sunter gdg 65835074/4258618 Jakarta",31904149,,-,31904150,,30,"Majit KUSWARDI","ENDG 081807807472 [legacy:inventory_cab supplier_code=C004 row_id=43]",3
44,CAB-C005,"COOL PART",-,-,,-,,,30,CATHY,"[legacy:inventory_cab supplier_code=C005 row_id=44]",3
45,CAB-C006,"PT.Cipta Mitra Selaras","Jl.Perikanan No.18 B Jakarta Selatan 08128496766 yen yen Jakarta 12640",78891625,,-,7865384,,60,"Yen Yen","08176793404 p arion [legacy:inventory_cab supplier_code=C006 row_id=45]",3
46,CAB-C007,COUPLER,-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=C007 row_id=46]",3
47,CAB-C008,cash,-,-,,-,,,30,,"[legacy:inventory_cab supplier_code=C008 row_id=47]",3
48,CAB-C009,Cendana,"jl psr kenari 2 no 17B",-,,-,,,60,,"[legacy:inventory_cab supplier_code=C009 row_id=48]",3
49,CAB-C010,"Citra utama","jl.daan mogot 2 no 100-dd,jakbar 11470  jakarta 11470","5655842/3,56331",,-,5681446,,60,"TUTY LIBRA/YULIA","[legacy:inventory_cab supplier_code=C010 row_id=49]",3
50,CAB-C011,"CIPTA LESTARI","JL JEMBATAN TIGA RAYA NO 5 M",6616423,,-,,,60,DEWI,"[legacy:inventory_cab supplier_code=C011 row_id=50]",3
51,CAB-C012,"CHANDRA freon",-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=C012 row_id=51]",3
52,CAB-C013,"CAHAYA MAKMUR SJHTRA",-,62305522,,-,62305523,,60,ANDRE,"[legacy:inventory_cab supplier_code=C013 row_id=52]",3
53,CAB-C014,"ciptamulti proteksindo","plaza de lumina blok c no 19 duri kosambi ckrg",29030720/290307,,-,,,30,yuni,"[legacy:inventory_cab supplier_code=C014 row_id=53]",3
54,CAB-C015,"CITRA MAKMUR BINA SAHABAT","jl pnjg ARTERI NO 63 //29408888 bca 7550334431 citra makmur bina sahabat",29408888,,-,29408777,"OSEKI BUILDING",30,MINI,"088213439602 [legacy:inventory_cab supplier_code=C015 row_id=54]",3
55,CAB-C016,"COOL TECHNIC",-,31937141,,-,3103810,,30,YANI,"[legacy:inventory_cab supplier_code=C016 row_id=55]",3
56,CAB-D002,Darmawan,Jakarta,-,,-,,,60,"Sutikno,Fendy","[legacy:inventory_cab supplier_code=D002 row_id=56]",3
57,CAB-D003,"Dian Cempaka",Jakarta,42885056,,-,,,60,"Beby(HARTONO WIBISONO)","[legacy:inventory_cab supplier_code=D003 row_id=57]",3
58,CAB-D004,"Dian Gas Sentosa","68393889 P ERWIN/0818937157  Jakarta",5453063,,-,54399730,,60,"(DIAN GAS)","085101393889 [legacy:inventory_cab supplier_code=D004 row_id=58]",3
59,CAB-D005,"Duta Niaga","6253055/56  Jakarta",6480061,,-,,,60,"Roby,Lucy","[legacy:inventory_cab supplier_code=D005 row_id=59]",3
60,CAB-D006,"Dassindo Abadi","ALEX  Jakarta",7543758,,-,7548134,,60,"(Anwar Santosa)","[legacy:inventory_cab supplier_code=D006 row_id=60]",3
61,CAB-D007,DELCOP,-,-,,-,,,30,KOO,"[legacy:inventory_cab supplier_code=D007 row_id=61]",3
62,CAB-D008,Doni,Jakarta,082111441889,,-,,,60,Doni,"[legacy:inventory_cab supplier_code=D008 row_id=62]",3
63,CAB-D009,"Darma jaya",-,-,,-,,,60,,"[legacy:inventory_cab supplier_code=D009 row_id=63]",3
64,CAB-D010,"PT DUTA ISOLASINDO ABADI","jl.daan mogot 2 no 100 BB ( ATIT ) perg tgl alur myami ic creamjl kayu bsr 5blk b 2-3 JAKARTA",5668635/5669463,,-,5681444,,60,yuli,"0811818475 [legacy:inventory_cab supplier_code=D010 row_id=64]",3
65,CAB-D011,"PT DIAN RAYA NIAGA","FAX 6280617,085813804882 DEVI",6253055/56,,-,6253057,,60,"(ROBBY SANJAYA)","ULFA [legacy:inventory_cab supplier_code=D011 row_id=65]",3
66,CAB-D012,"DENY PLASTIK",-,081905890088,,-,,,30,"KO DENY","[legacy:inventory_cab supplier_code=D012 row_id=66]",3
67,CAB-D013,"DUCTING ACCESSORIES SUPLIER",-,081514334865,,-,,,30,"(LUKMAN HALIM SALIM)","[legacy:inventory_cab supplier_code=D013 row_id=67]",3
