legacy_id,kode,name,kenaikan_harga
1,741200,NEPEL,0
2,000000,GAS,0
3,000000,ASESORIS,0
4,848100,VALVE,0
5,382400,REFRIGERATION,0
6,000000,ISOLASI,0
7,000000,DUCTING,0
8,000000,INSTRUMENT,0
9,820200,TOOL,0
10,400900,SELANG,0
11,741200,FITTING,0
12,000000,PE,0
13,000000,PIPA,0
14,848100,REGULATOR,0
15,000000,ASS,0
16,000000,BESI,0
17,000000,CT,0
18,000000,0000,0
19,741100,"PIPA BTG BRASSCO",0
20,284000,"ASESORIS ACE FLUX",0
21,848100,"ASESORIS BURKET",0
22,830700,"ASESORIS CASTEL",0
23,732600,"ASESORIS DADO",0
24,000000,"ASESORIS ETERNA",0
25,848100,"ASESORIS FIREKING",0
26,902600,"ASESORIS FUEL",0
27,000000,"ASESORIS FUJI",0
28,000000,"ASESORIS GERMANY",0
29,902600,"ASESORIS GMT",0
30,000000,"ASESORIS HARRIS",0
31,848100,"ASESORIS HS",0
32,000000,"ASESORIS IMPERIAL",0
33,000000,"ASESORIS INSFOIL",0
34,000000,"ASESORIS JETS",0
35,000000,"ASESORIS KMT",0
36,000000,"ASESORIS LOKAL",0
37,000000,"ASESORIS MORIS",0
38,000000,"ASESORIS NONE",0
39,000000,"ASESORIS PAPS",0
40,000000,"ASESORIS RADAR",0
41,000000,"ASESORIS ROTHENBERGER",0
42,391900,"ASESORIS SAEKI",0
43,400900,"ASESORIS SUPERLON",0
44,400900,"ASESORIS THERMAFLEX",0
45,000000,"ASESORIS TOZEN",0
46,848100,"ASESORIS UNI-D",0
47,391700,"ASESORIS WAVIN",0
48,000000,"ASESORIS WIKA",0
49,000000,"ASESORIS YAMATO",0
50,848100,"ASESORIS YUTA",0
51,848100,"ASESORIS ZEKI",0
52,848100,"ASS JOHNSON",0
53,000000,"ASS NONE",0
54,391900,"ASS ONDA",0
55,721000,"BESI LOKFOM",0
56,000000,"CT NONE",0
57,400900,"DUCTING AEROTAPE",0
58,000000,"DUCTING BELVER",0
59,830700,"DUCTING DEC",0
60,392100,"DUCTING FIRST DUCT",0
61,830700,"DUCTING INDOFLEX",0
62,721000,"DUCTING LOKFOM",0
63,830700,"DUCTING MASTER",0
64,830700,"DUCTING MODULFLEX",0
65,000000,"DUCTING NONE",0
66,830700,"DUCTING POLYAIRE",0
67,000000,"DUCTING PSF",0
68,000000,"DUCTING SARANA",0
69,830700,"DUCTING SKY DUCT",0
70,000000,"DUCTING TILEMENT",0
71,730700,"FITTING BESI",0
72,730700,"FITTING BESI LAS",0
73,730700,"FITTING BESI SCH",0
74,741200,"FITTING FORBES",0
75,741200,"FITTING GMT",0
76,741200,"FITTING KMT",0
77,741200,"FITTING NIBCO",0
78,741200,"FITTING NONE",0
79,741200,"FITTING PSF",0
80,730700,"FITTING PVC",0
81,741200,"FITTING RIFENG",0
82,730700,"FITTING RUCIKA",0
83,730700,"FITTING SERA",0
84,730700,"FITTING STAINLESS",0
85,730700,"FITTING TOZEN",0
86,730700,"FITTING TSP",0
87,730700,"FITTING VIT",0
88,730700,"FITTING WAVIN",0
89,730700,"FLANGE BESI",0
90,830700,"FLEXIBLE STAINLESS",0
91,830700,"FLEXIBLE TECHNO",0
92,830700,"FLEXIBLE TOZEN",0
93,000000,"GAS AICHI",0
94,848100,"GAS AMCARE",0
95,000000,"GAS AMICO",0
96,000000,"GAS AMPY EMAIL",0
97,400900,"GAS BRIDGESTONE",0
98,848100,"GAS CNU",0
99,848100,"GAS DURATEC",0
100,000000,"GAS ELSTER",10
101,000000,"GAS GALA",0
102,000000,"GAS GALLUS",0
103,848100,"GAS GMT",0
104,848100,"GAS HANKOOK",0
105,000000,"GAS HICOOK",0
106,000000,"GAS KANSAI",0
107,400900,"GAS METAGOMA",0
108,000000,"GAS NONE",0
109,848100,"GAS SAFE GAS",0
110,848100,"GAS SHINWOO",0
111,848100,"GAS STARMED",0
112,000000,"GAS TESTER",0
113,902600,"INSTRUMENT BENETECH",0
114,902600,"INSTRUMENT BLUE WHITE",0
115,902600,"INSTRUMENT BR",0
116,000000,"INSTRUMENT CAMEL",0
