legacy_id,sku,name,product_category_kode,cabang_id,cost_price,sell_price,description,uom_name,supplier_code,harga_batas,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,is_manufacture,is_raw_material,is_active
1,DTACBB060915,"BRASSCO PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m",741100,2,500000,763525,,ROLL,,763525,500000,Inklusif,11,1,10000,BRASSCO,500000,0,0,1
2,DTACBB060930,"BRASSCO PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m",741100,2,750000,1144176,,ROL,,1144176,750000,Inklusif,11,1,10000,BRASSCO,750000,0,0,1
3,DTACBB060932,"BRASSCO PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30m",741100,2,1295231,2183525,,ROLL,,2183525,1470088,Inklusif,11,1,10000,BRASSCO,1470088,0,0,1
4,DTACBB060933,"BRASSCO PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 30M",741100,2,1546831,2674505,,ROLL,,2674505,1876986,Inklusif,11,1,10000,BRASSCO,1876986,0,0,1
5,DTacbb061315,"BRASSCO PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M",741100,2,550000,1166231,,ROLL,,1166231,550000,Inklusif,11,1,10000,BRASSCO,550000,0,0,1
6,DTACBB061330,"BRASSCO PIPA SET 1/4 T0.45mm + 1/2 T0.56MM X 30M",741100,2,1067400,2332462,,ROL,,2332462,1067400,Inklusif,11,1,10000,BRASSCO,1067400,0,0,1
7,DTACBB061332,"BRASSCO PIPA SET 1/4 T0.61mm + 1/2 T0.61mm x 30m",741100,2,1555179,2622758,,ROLL,,2622758,1765128,Inklusif,11,1,10000,BRASSCO,1765128,0,0,1
8,DTACBB061333,"BRASSCO PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 30M",741100,2,1905143,3248786,,ROLL,,3248786,2162337,Inklusif,11,1,10000,BRASSCO,2162337,0,0,1
9,DTACBB061615,"BRASSCO PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 15M",741100,2,850000,1660996,,ROLL,,1660996,850000,Inklusif,11,1,10000,BRASSCO,850000,0,0,1
10,DTACBB061630,"BRASSCO PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 30M",741100,2,1640000,3321990,,ROL,,3321990,1640000,Inklusif,11,1,10000,BRASSCO,1640000,0,0,1
11,DTACBB061631,"BRASSCO PIPA SET 1/4 T0.61MM + 5/8 T0.71MM X 30M",741100,2,2728064,3373739,,ROLL,,3373739,2728064,Inklusif,11,1,10000,BRASSCO,2728064,0,0,1
12,DTACBB061633,"BRASSCO PIPA SET 1/4 T0.76MM + 5/8 T0.89MM X 30M",741100,2,2552067,4057827,,ROLL,,4057827,2552067,Inklusif,11,1,10000,BRASSCO,2552067,0,0,1
13,DTACBB091615,"BRASSCO PIPA SET 3/8 T0.56mm X 5/8 T0.71mm X 15m",741100,2,1578245,1849058,,ROLL,,1849058,1578245,Inklusif,11,1,10000,BRASSCO,1230600,0,0,1
14,DTACBB091630,"BRASSCO PIPA SET 3/8 T0.56mm X 5/8 T0.71mm X 30m",741100,2,2790060,3696851,,ROL,,3696851,2790060,Inklusif,11,1,10000,BRASSCO,2790060,0,0,1
15,DTACBB091633,"BRASSCO PIPA SET 3/8 T0.81MM + 5/8 T0.89MM X 30M",741100,2,2901470,5019589,,ROLL,,5019589,3603278,Inklusif,11,1,10000,BRASSCO,3603278,0,0,1
16,DTACBB091915,"BRASSCO PIPA SET 3/8 T0.56MM + 3/4 T0.71MM X 15M",741100,2,1400000,2174787,,ROLL,,2174787,0,Inklusif,11,1,10000,BRASSCO,0,0,0,1
17,DTACBB091930,"BRASSCO PIPA SET 3/8 T0.56MM + 3/4 T0.71MM X 30M",741100,2,1880000,4142451,,ROL,,4142451,1880000,Inklusif,11,1,10000,BRASSCO,1880000,0,0,1
18,DTACBB091931,"BRASSCO PIPA SET 3/8 T0.61MM + 3/4 T0.71MM X 30M",741100,2,1855431,4242102,,ROLL,,4242102,2225534,Inklusif,11,1,10000,BRASSCO,2225534,0,0,1
19,DTACBB091933,"BRASSCO PIPA SET 3/8 T0.81MM + 3/4 T0.89MM X 30M",741100,2,2279700,5216485,,ROLL,,5216485,2800069,Inklusif,11,1,10000,BRASSCO,2800069,0,0,1
20,DTACBB131915,"BRASSCO PIPA SET 1/2 T0.61MM x 3/4 T0.71MM x 15M",741100,2,1400000,2319841,,ROLL,,2319841,1500000,Inklusif,11,1,10000,BRASSCO,1500000,0,0,1
21,DTACBB131930,"BRASSCO PIPA SET 1/2 T 0.61MM + 3/4 T 0.71MM X 30M",741100,2,2034900,4638418,,ROLL,,4638418,2499390,Inklusif,11,1,10000,BRASSCO,2499390,0,0,1
22,DTacbb131933,"BRASSCO PIPA SET 1/2 T0.81MM + 3/4 T0.89MM x 30M",741100,2,2509200,5744067,,ROLL,,5744067,3081955,Inklusif,11,1,10000,BRASSCO,3081955,0,0,1
24,acco009010,"ACCOFLEX 3/8cu",400900,2,11875,12614,,BTG,,12614,11875,"Non Pajak",0,1,10000,ACCO,11875,0,0,1
25,acco009013,"ACCOFLEX 1/2cu",400900,2,12350,13118,,BTG,,13118,12350,"Non Pajak",0,1,10000,ACCO,12350,0,0,1
26,acco009016,"ACCOFLEX 5/8cu",400900,2,12350,13118,,BTG,,13118,12350,"Non Pajak",0,1,10000,ACCO,12350,0,0,1
27,acco009019,"ACCOFLEX 3/4cu (1/2ips)",400900,2,14250,15136,,BTG,,15136,14250,"Non Pajak",0,1,10000,ACCO,14250,0,0,1
28,acco009022,"ACCOFLEX 7/8cu (1/2ips)",400900,2,15200,16145,,BTG,,16145,15200,"Non Pajak",0,1,10000,ACCO,15200,0,0,1
29,acco009025,"ACCOFLEX 1cu (3/4ips)",400900,2,15675,16650,,BTG,,16650,15675,"Non Pajak",0,1,10000,ACCO,15675,0,0,1
30,acco009028,"ACCOFLEX 1 1/8cu (1ips)",400900,2,11500,17659,,BTG,,17659,11500,"Non Pajak",0,1,10000,ACCO,11500,0,0,1
31,acco009042,"ACCOFLEX 15/8cu (11/2ips)",400900,2,22325,23714,,BTG,,23714,22325,"Non Pajak",0,1,10000,ACCO,22325,0,0,1
37,adpt003006,"ADAPTOR 1/8 NPT X 1/4 SAE",741200,2,10000,22000,,bh],,22000,10000,"Non Pajak",0,1,10000,PSF,10000,0,0,1
38,adpt006006,"ADAPTOR 1/4NPT x 1/4SAE",741200,2,10000,22000,,bh],,22000,10000,"Non Pajak",0,1,10000,PSF,10000,0,0,1
39,adpt009006,"ADAPTOR 3/8 NPT x 1/4 SAE",741200,2,12500,16000,,bh],,16000,12500,"Non Pajak",0,1,10000,PSF,12500,0,0,1
40,adpt009009,"ADAPTOR 3/8NPT x 3/8 sae",741200,2,12500,20000,,bh],,20000,12500,"Non Pajak",0,1,10000,PSF,12500,0,0,1
42,adpt015009,"ADAPTOR 1/2NPT x 3/8sae",741200,2,20000,30000,,bh],,30000,20000,"Non Pajak",0,1,10000,PSF,20000,0,0,1
