legacy_id,code,perusahaan,address,phone,email,handphone,fax,npwp,tempo_hutang,kontak_person,keterangan,cabang_id
1,A001,"Abdi Karya","08815706428/081318822202 jefri",-,,-,,,60,"(ARYVIDYAN HAMSUNI)",KNTR:66671637,2
2,A002,Adil,"3922118  Jakarta","3155236,3142123",,-,,,60,"Ahin(PUTRA ADIL)",,2
3,A003,Aff,Jakarta,4611185,,-,,,60,Penny/Rico,,2
4,A004,"Anen Nepel",Jakarta,0811950732,,-,,,60,Anen,,2
5,A005,AER,Jakarta,9204761,,-,,,60,Michael,,2
6,A006,Atui,Jakarta,6321172,,-,,,60,Atui,,2
7,A007,ALCO,-,-,,-,,,30,ONG,,2
8,A008,Airtekindo,Jakarta,55910708,,-,55910738,,60,WINA,,2
9,A009,"Argo Mandiri Metalindo",Jakarta,-,,-,,,60,willy,,2
11,A011,API,-,-,,-,,,60,,,2
12,A012,"PT AIR DUCT PANELINDO","JL. DANAU SUNTER UTARA KOMP.RUKO SUNTER PERMAI BLOK.D NO.1 SUNTER AGUNG , JAKARTA UTARA",65833343,,081310212344,,02.957.646.9-048.000,60,JEFRI,NPWP,2
13,A013,AIRCO,-,-,,-,,,60,,,2
14,A014,alkonusa,-,-,,-,,,30,,,2
15,A015,"alvindo catur","jl.m.h lodan raya no 80-81 ruko lodan center",6902063,,-,6900756,,60,,,2
16,A016,"arta trisna","taman palem lestari blok d10no8 cengkareng 081370344909 yana",55950264/559507,,-,55950264,,30,"p albert","55950768 DESI//085885272689",2
17,A017,"PT AGSON INTERNATIONAL","JL PANGKALAN 5 NO 28 RT 001 RW 003 , KOTA BEKASI",021-8579988,info@agson.co.id,-,,02.145.723.9-001.000,30,,NPWP,2
18,A019,aba,-,-,,-,,,30,,,2
19,A020,"ADDY GEMILANG PERKASA","KOMP RUKO CLUSTER BLOK A NO 11 JL ISKANDR MUDATGRG 085691112255/55732165",55732165,,-,55732166,,30,FRANS,,2
20,A021,"AKHMAD SYAFIK",TEGAL,-,,-,,,30,,,2
21,A022,ARCARE,-,-,,-,,,30,,,2
22,B001,"Buni Steel","jl buni no 28-30",6284838,,-,6284917,,60,"Wei Wei(WILLY LINGGA)",,2
23,B002,"Bidara Sari","08161108511/70019988/68937700 JL OTISTA RAYA NO 28",8192110,,-,8560767,,30,"(Hendra)no rek 2721795111(BCA)",8509603,2
24,B003,"Budi Anugrah",Jakarta,6244822,,-,,,30,Okin,,2
25,B004,"Bintang Terang","Kenari Mas  Jakarta",3910134,,-,,,30,Atek,,2
26,B005,"Bintang Terang Gas",Jakarta,-,,-,,,60,,,2
27,B006,"Buana Nittanindo Gas","081290171437  Jakarta",5669415,,-,5607469,,60,Tabri/AGUS,,2
28,B007,"PT BINA INDOJAYA","JL MANGGA DUA RAYA BLOK E 33 RT 014/013 MANGGA DUA SELATAN,SAWAH BESAR,JAKARTA PUSAT",6249845,,081380005478,,,60,"Iing/Akhiong(POH ESTERLITA)",,2
29,B008,"PT BORDES NUSANTARA","jl manunggal v no 48 kedoya  Jakarta",58351878,,-,58351879,,60,Tomy/Maria,0818818419,2
30,B009,BRASSCO,-,-,,-,,,30,EDWARD,,2
31,B010,"BINA TEHNIKA",Jakarta,02165305397,,-,02165307921,,60,"(Frans SUPIT)",0816968538,2
32,B011,"PT Buana Teknik Mandiri","Jl.Duri Raya No.9,Tomang Barat-Jakarta Barat  Jakarta",5607468,,-,5607469,,60,Agus,,2
33,B012,"Baja Abadi","pertokoan glodok jaya no 90-91 081285821190 fax:6498790 sari@badjaabadisentosa.co",6498752/55,,-,6011847,,60,"LIE KRISTIAN HARYANTO ( TANPA PPN)","KO IRWAN/maretsa 83822975/087882358651",2
34,B013,BEST,-,-,,-,,,60,NANY,,2
35,B014,burkert,-,-,,-,,,60,,,2
36,B015,"bintang jaya","jl letjen suprapto 104 B",4202511/4202644,,-,4200421,,30,athay,,2
37,B016,BKJ,-,-,,-,,,30,,,2
38,B017,"BERKAT LESTARI",082275070000//93111324,-,,-,,,30,"BP ANDREAS(Radik Andreas)",,2
39,B018,"BAJANA MULIA TAMA","JL RAYA BOGOR KM 34,5 NO 4A RT 01/001 KEL SUKAMAJU",87742198,,-,87742197,,60,"AGUS (081213056748",,2
40,C001,CORBY,-,-,,-,,,30,,,2
41,C002,"Cv Abadi Medika","p heru 08129033327",98227908,,-,,,30,Heru,,2
42,C003,Cku,"GUDANG CKU JL AGUNG PERKASA 9 BLOK A1 NO.21 6256511 Jakarta","6266269,6266267",,-,6296766,,60,"UNTUNG SOETJIPTO",,2
43,C004,"Cipta Sukses Bersama","Kenari sunter gdg 65835074/4258618 Jakarta",31904149,,-,31904150,,30,"Majit KUSWARDI","ENDG 081807807472",2
