target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001001019300,category,2,"CAB-001001019300 || CAB-001001019300-DUP2-R14201","COPPER TUBE ASTM B819 HIGH PRESSURE 3/4 X 3MM || COPPER TUBE ASTM B819 HIGH PRESSURE 3/4 X 3MM","517 || 7","1000000.00 || 1000000.00",0.00,0.00,CAB-001001019300,517,1000000.00,,,,,
ACBB106009,category,2,"CAB-ACBB106009 || CAB-ACBB106009-DUP2-R11091","BRASSCO PIPA SET ECER 1/4 0,61MM X 3/8 0.61MM || BRASSCO PIPA SET ECER 1/4 0,61MM X 3/8 0.61MM","514 || 942","99000.00 || 99000.00",0.00,0.00,CAB-ACBB106009,514,99000.00,,,,,
ptbb006080,category,2,"CAB-ptbb006080 || CAB-ptbb006080-DUP2-R12143","BRASSCO PIPA TEMBAGA ASTM B 88 TYPE K 1/4 X 0.81MM || BRASSCO PIPA TEMBAGA ASTM B 88 TYPE K 1/4 X 0.81MM","353 || 822","150000.00 || 150000.00",0.00,0.00,CAB-ptbb006080,353,150000.00,,,,,
ptbb006089,category,2,"CAB-ptbb006089 || CAB-ptbb006089-DUP2-R12147","BRASSCO PIPA TEMBAGA ASTM B280 1/4 X 0.89MM || BRASSCO PIPA TEMBAGA ASTM B280 1/4 X 0.89MM","353 || 822","103500.00 || 103500.00",0.00,0.00,CAB-ptbb006089,353,103500.00,,,,,
PTBB008202,category,2,"CAB-PTBB008202 || CAB-PTBB008202-DUP2-R12159","BRASSCO PIPA TEMBAGA ASTM B 819 8.00MM X 2.00MM || BRASSCO PIPA TEMBAGA ASTM B 819 8.00MM X 2.00MM","353 || 822","289470.00 || 289470.00",0.00,0.00,CAB-PTBB008202,353,289470.00,,,,,
PTBB019092,category,2,"CAB-PTBB019092 || CAB-PTBB019092-DUP2-R12223","BRASSCO PIPA TEMBAGA ASTM B819 3/4 X 0,91MM || BRASSCO PIPA TEMBAGA ASTM B819 3/4 X 0,91MM","353 || 822","505632.00 || 505632.00",0.00,0.00,CAB-PTBB019092,353,505632.00,,,,,
ptrb006040,category,2,"CAB-ptrb006040 || CAB-ptrb006040-DUP2-R12375","BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.40MM || BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.40MM","514 || 941","105600.00 || 105600.00",0.00,0.00,CAB-ptrb006040,514,105600.00,,,,,
ptrb006050,category,2,"CAB-ptrb006050 || CAB-ptrb006050-DUP2-R12377","BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.53MM || BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.53MM","514 || 941","110000.00 || 110000.00",0.00,0.00,CAB-ptrb006050,514,110000.00,,,,,
ptrb008050,category,2,"CAB-ptrb008050 || CAB-ptrb008050-DUP2-R12387","BRASSCO PIPA TEMBAGA ROL ASTM B280 5/16 x 0.45MM || BRASSCO PIPA TEMBAGA ROL ASTM B280 5/16 x 0.45MM","514 || 941","221571.00 || 221571.00",256.00,22.00,CAB-ptrb008050,514,221571.00,,,,,
ptrb009050,category,2,"CAB-ptrb009050 || CAB-ptrb009050-DUP2-R12392","BRASSCO PIPA TEMBAGA ROL ASTM B280 3/8 x 0.50MM || BRASSCO PIPA TEMBAGA ROL ASTM B280 3/8 x 0.50MM","514 || 941","175000.00 || 175000.00",0.00,0.00,CAB-ptrb009050,514,175000.00,,,,,
ptrb013050,category,2,"CAB-ptrb013050 || CAB-ptrb013050-DUP2-R12402","BRASSCO PIPA TEMBAGA ROL ASTM B280 1/2 x 0.50MM || BRASSCO PIPA TEMBAGA ROL ASTM B280 1/2 x 0.50MM","514 || 941","317000.00 || 317000.00",0.00,0.00,CAB-ptrb013050,514,317000.00,,,,,
