target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001001008201,"category,biaya",2,"CAB-001001008201 || CAB-001001008201-DUP2-R14015","COPPER TUBE ANNEALED SOFT 8.00MM X 2 MM X 5.8M || COPPER TUBE ANNEALED SOFT 8.00MM X 2 MM X 5.8M","353 || 7","473400.00 || 426548.00",150.00,14.00,CAB-001001008201,353,473400.00,,,,,
001001016200,"category,biaya",2,"CAB-001001016200 || CAB-001001016200-DUP2-R14199","COPPER TUBE ASTM B819 5/8 X 2.00 MM || COPPER TUBE ASTM B819 5/8 X 2.00 MM","640 || 7","931050.00 || 800000.00",25.00,4.00,CAB-001001016200,640,931050.00,,,,,
001001019201,"category,biaya",2,"CAB-001001019201 || CAB-001001019201-DUP2-R14198","COPPER TUBE ASTM B819  3/4 x 2.00MM x 5.8M || COPPER TUBE ASTM B819 3/4 x 2.00MM x 5.8M","640 || 7","1236600.00 || 1200000.00",55.00,2.00,CAB-001001019201,640,1236600.00,,,,,
001001022167,"category,biaya",2,"CAB-001001022167 || CAB-001001022167-DUP2-R14214","COPPER TUBE ASTM B819 TYPE K 7/8 || COPPER TUBE ASTM B819 TYPE K 7/8","640 || 7","1102500.00 || 1020833.00",27.00,0.00,CAB-001001022167,640,1102500.00,,,,,
001001035167,"category,biaya",2,"CAB-001001035167 || CAB-001001035167-DUP2-R14204","COPPER TUBE ASTM B819 TYPE K 1 3/8 || COPPER TUBE ASTM B819 TYPE K 1 3/8","640 || 7","2354400.00 || 2019167.00",41.00,2.00,CAB-001001035167,640,2354400.00,,,,,
001001042167,"category,biaya",2,"CAB-001001042167 || CAB-001001042167-DUP2-R14205","COPPER TUBE ASTM B819 TYPE K 1 5/8 || COPPER TUBE ASTM B819 TYPE K 1 5/8","640 || 7","2517750.00 || 2158333.00",11.00,1.00,CAB-001001042167,640,2517750.00,,,,,
001002006082,"category,biaya",2,"CAB-001002006082 || CAB-001002006082-DUP2-R14128","COPPER TUBE ASTM B280 6.00mm x 0.81MM x 5,8M || COPPER TUBE ASTM B280 6.00mm x 0.81MM x 5,8M","640 || 7","108000.00 || 100000.00",10.00,10.00,CAB-001002006082,640,108000.00,,,,,
001002006100,"category,biaya",2,"CAB-001002006100 || CAB-001002006100-DUP2-R14069","COPPER TUBE ASTM B280 1/4 X 1.00 MM || COPPER TUBE ASTM B280 1/4 X 1.00 MM","640 || 7","197550.00 || 182917.00",116.00,23.00,CAB-001002006100,640,197550.00,,,,,
001002008100,"category,biaya",2,"CAB-001002008100 || CAB-001002008100-DUP2-R14141","COPPER TUBE ASTM B280 8.00 MM X 1.00 MM || COPPER TUBE ASTM B280 8.00 MM X 1.00 MM","640 || 7","242100.00 || 216250.00",4.00,4.00,CAB-001002008100,640,242100.00,,,,,
001002012100,"category,biaya",2,"CAB-001002012100 || CAB-001002012100-DUP2-R14074","COPPER TUBE ASTM B280 12.00 MM X 1.00 MM || COPPER TUBE ASTM B280 12.00 MM X 1.00 MM","640 || 7","500850.00 || 463750.00",59.00,0.00,CAB-001002012100,640,500850.00,,,,,
001002013061,"category,biaya",2,"CAB-001002013061 || CAB-001002013061-DUP2-R14056","COPPER TUBE ASTM B280 1/2 X 0.61 MM || COPPER TUBE ASTM B280 1/2 X 0.61 MM","640 || 7","257400.00 || 210000.00",3.00,3.00,CAB-001002013061,640,257400.00,,,,,
001002013081,"category,biaya",2,"CAB-001002013081 || CAB-001002013081-DUP2-R14058","COPPER TUBE ASTM B280 1/2 X 0.81MM X 5.8M || COPPER TUBE ASTM B280 1/2 X 0.81MM X 5.8M","517 || 198","335700.00 || 0.00",1.00,1.00,CAB-001002013081,517,335700.00,,,,,
001002016091,"category,biaya",2,"CAB-001002016091 || CAB-001002016091-DUP2-R14118","COPPER TUBE ASTM B280 5/8 X 0.91 MM || COPPER TUBE ASTM B280 5/8 X 0.91 MM","640 || 7","475200.00 || 387083.00",5.00,5.00,CAB-001002016091,640,475200.00,,,,,
001002016150,"category,biaya",2,"CAB-001002016150 || CAB-001002016150-DUP2-R14120","COPPER TUBE ASTM B280 5/8 X 1.50 MM || COPPER TUBE ASTM B280 5/8 X 1.50 MM","640 || 7","751950.00 || 670000.00",33.00,1.00,CAB-001002016150,640,751950.00,,,,,
001002019061,"category,biaya",2,"CAB-001002019061 || CAB-001002019061-DUP2-R14091","COPPER TUBE ASTM B280 3/4 X 0.61 MM || COPPER TUBE ASTM B280 3/4 X 0.61 MM","640 || 7","392400.00 || 320000.00",124.00,98.00,CAB-001002019061,640,392400.00,,,,,
001002019107,"category,biaya",2,"CAB-001002019107 || CAB-001002019107-DUP2-R14100","COPPER TUBE ASTM B280 3/4 X TYPE L || COPPER TUBE ASTM B280 3/4 X TYPE L","640 || 7","590400.00 || 546667.00",3.00,2.00,CAB-001002019107,640,590400.00,,,,,
001002022051,"category,biaya",2,"CAB-001002022051 || CAB-001002022051-DUP2-R14129","COPPER TUBE ASTM B280 7/8 X 0.51 MM || COPPER TUBE ASTM B280 7/8 X 0.51 MM","640 || 7","386100.00 || 315000.00",64.00,6.00,CAB-001002022051,640,386100.00,,,,,
001002022081,"category,biaya",2,"CAB-001002022081 || CAB-001002022081-DUP2-R14132","COPPER TUBE ASTM B280 7/8 X 0.81 MM || COPPER TUBE ASTM B280 7/8 X 0.81 MM","640 || 7","604350.00 || 492917.00",20.00,21.00,CAB-001002022081,640,604350.00,,,,,
001002022200,"category,biaya",2,"CAB-001002022200 || CAB-001002022200-DUP2-R14135","COPPER TUBE ASTM B280 7/8 X 2.00 MM || COPPER TUBE ASTM B280 7/8 X 2.00 MM","640 || 7","1478700.00 || 1268333.00",61.00,7.00,CAB-001002022200,640,1478700.00,,,,,
001002025051,"category,biaya",2,"CAB-001002025051 || CAB-001002025051-DUP2-R14046","COPPER TUBE ASTM B280 1 X 0.51 MM || COPPER TUBE ASTM B280 1 X 0.51 MM","640 || 7","442800.00 || 360833.00",47.00,23.00,CAB-001002025051,640,442800.00,,,,,
001002035061,"category,biaya",2,"CAB-001002035061 || CAB-001002035061-DUP2-R14032","COPPER TUBE ASTM B280 1 3/8 X 0.61 MM || COPPER TUBE ASTM B280 1 3/8 X 0.61 MM","640 || 7","729630.00 || 565417.00",20.00,4.00,CAB-001002035061,640,729630.00,,,,,
001002035081,"category,biaya",2,"CAB-001002035081 || CAB-001002035081-DUP2-R14033","COPPER TUBE ASTM B280 1 3/8 X 0.81 MM || COPPER TUBE ASTM B280 1 3/8 X 0.81 MM","640 || 7","963450.00 || 785417.00",150.00,5.00,CAB-001002035081,640,963450.00,,,,,
001002035091,"category,biaya",2,"CAB-001002035091 || CAB-001002035091-DUP2-R14034","COPPER TUBE ASTM B280 1 3/8 X 0.91 MM || COPPER TUBE ASTM B280 1 3/8 X 0.91 MM","640 || 7","1079100.00 || 879583.00",32.00,1.00,CAB-001002035091,640,1079100.00,,,,,
