target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001001008201,"category,biaya",CAB-001001008201,"COPPER TUBE ANNEALED SOFT 8.00MM X 2 MM X 5.8M",353,9,338670.00,552300.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,473400.00,12.00,14.00,1.00
001001008201,"category,biaya",CAB-001001008201-DUP2-R14015,"COPPER TUBE ANNEALED SOFT 8.00MM X 2 MM X 5.8M",7,9,338670.00,552300.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,426548.00,138.00,0.00,1.00
001001016200,"category,biaya",CAB-001001016200,"COPPER TUBE ASTM B819 5/8 X 2.00 MM",640,9,800000.00,1085896.00,0.00,"Non Pajak",0.00,1,1,,931050.00,3.00,4.00,1.00
001001016200,"category,biaya",CAB-001001016200-DUP2-R14199,"COPPER TUBE ASTM B819 5/8 X 2.00 MM",7,9,800000.00,1085896.00,0.00,"Non Pajak",0.00,1,1,,800000.00,22.00,0.00,1.00
001001019201,"category,biaya",CAB-001001019201,"COPPER TUBE ASTM B819  3/4 x 2.00MM x 5.8M",640,9,1000000.00,1442700.00,0.00,"Non Pajak",0.00,1,1,,1236600.00,2.00,2.00,1.00
001001019201,"category,biaya",CAB-001001019201-DUP2-R14198,"COPPER TUBE ASTM B819 3/4 x 2.00MM x 5.8M",7,9,1000000.00,1442700.00,0.00,"Non Pajak",0.00,1,1,,1200000.00,53.00,0.00,1.00
001001022167,"category,biaya",CAB-001001022167,"COPPER TUBE ASTM B819 TYPE K 7/8",640,9,1020833.00,1388100.00,0.00,"Non Pajak",0.00,1,10000,,1102500.00,0.00,0.00,1.00
001001022167,"category,biaya",CAB-001001022167-DUP2-R14214,"COPPER TUBE ASTM B819 TYPE K 7/8",7,9,1020833.00,1388100.00,0.00,"Non Pajak",0.00,1,10000,,1020833.00,27.00,0.00,1.00
001001035167,"category,biaya",CAB-001001035167,"COPPER TUBE ASTM B819 TYPE K 1 3/8",640,9,2019167.00,2746485.00,0.00,"Non Pajak",0.00,1,10000,,2354400.00,2.00,2.00,1.00
001001035167,"category,biaya",CAB-001001035167-DUP2-R14204,"COPPER TUBE ASTM B819 TYPE K 1 3/8",7,9,2019167.00,2746485.00,0.00,"Non Pajak",0.00,1,10000,,2019167.00,39.00,0.00,1.00
001001042167,"category,biaya",CAB-001001042167,"COPPER TUBE ASTM B819 TYPE K 1 5/8",640,9,2158333.00,2937060.00,0.00,"Non Pajak",0.00,1,10000,,2517750.00,1.00,1.00,1.00
