target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001005060934,"category,biaya,qty_min",CAB-001005060934,"PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 30M",517,30,0.00,2402946.00,0.00,"Non Pajak",0.00,1,1,BCO,1907100.00,0.00,0.00,1.00
001005060934,"category,biaya,qty_min",CAB-001005060934-DUP2-R16906,"PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 30M",198,30,0.00,2402946.00,0.00,"Non Pajak",0.00,1,1,BCO,0.00,0.00,0.00,0.00
001005061633,"category,biaya,qty_min",CAB-001005061633,"PIPA SET 1/4 T0.61mm + 5/8 T0.71mm X 30M",517,30,2300000.00,3031182.00,0.00,"Non Pajak",0.00,1,1,BCO,2728080.00,2.00,2.00,1.00
001005061633,"category,biaya,qty_min",CAB-001005061633-DUP2-R16902,"PIPA SET 1/4 T0.61mm + 5/8 T0.71mm X 30M",198,30,2300000.00,3031182.00,0.00,"Non Pajak",0.00,1,1,BCO,2300000.00,0.00,0.00,0.00
001005091612,"category,biaya,qty_min",CAB-001005091612,"PIPA SET 3/8 T0.56mm + 5/8 T0.71mm X 15m",640,30,850000.00,1744376.00,0.00,"Non Pajak",0.00,1,10000,,1495350.00,0.00,0.00,1.00
001005091612,"category,biaya,qty_min",CAB-001005091612-DUP2-R16912,"PIPA SET 3/8 T0.56mm + 5/8 T0.71mm X 15m",7,30,850000.00,1744376.00,0.00,"Non Pajak",0.00,1,10000,,850000.00,0.00,0.00,0.00
001005091632,"category,biaya,qty_min",CAB-001005091632,"PIPA SET 3/8 T0.56MM + 5/8 T0.71mm X 30m",640,30,1860700.00,3487560.00,0.00,"Non Pajak",0.00,1,10000,,2989350.00,3.00,3.00,1.00
001005091632,"category,biaya,qty_min",CAB-001005091632-DUP2-R16913,"PIPA SET 3/8 T0.56MM + 5/8 T0.71mm X 30m",7,30,1860700.00,3487560.00,0.00,"Non Pajak",0.00,1,10000,,1860700.00,0.00,0.00,0.00
001005091633,"category,biaya,qty_min",CAB-001005091633,"PIPA SET 3/8 T0.61MM X 5/8 T0.71MM X 30M",640,30,2357212.00,3847152.00,0.00,"Non Pajak",0.00,1,10000,,3297600.00,3.00,3.00,1.00
001005091633,"category,biaya,qty_min",CAB-001005091633-DUP2-R16916,"PIPA SET 3/8 T0.61MM X 5/8 T0.71MM X 30M",7,30,2357212.00,3847152.00,0.00,"Non Pajak",0.00,1,10000,,2357212.00,0.00,0.00,0.00
