target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001006005100,"category,bulk_capacity",2,"CAB-001006005100 || CAB-001006005100-DUP2-R14238","COPPER TUBE PVC COATED 1/4'' X 1.00MM || COPPER TUBE PVC COATED 1/4 X 1.00MM","640 || 7","0.00 || 0.00",0.00,720.00,CAB-001006005100,640,0.00,APPROVE,CAB-001006005100,640,0.00,"Auto-prefilled from approval recommendations"
PTRB206061,"category,bulk_capacity",2,"CAB-PTRB206061 || CAB-PTRB206061-DUP2-R12426","BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.61MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.61MM X 30M","640 || 948","468586.00 || 468586.00",322.00,0.00,CAB-PTRB206061,640,468586.00,APPROVE,CAB-PTRB206061,640,468586.00,"Auto-prefilled from approval recommendations"
PTRB206076,"category,bulk_capacity",2,"CAB-PTRB206076 || CAB-PTRB206076-DUP2-R12427","BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.76MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.76MM X 30M","640 || 948","570810.00 || 570810.00",300.00,0.00,CAB-PTRB206076,640,570810.00,APPROVE,CAB-PTRB206076,640,570810.00,"Auto-prefilled from approval recommendations"
PTRB209061,"category,bulk_capacity",2,"CAB-PTRB209061 || CAB-PTRB209061-DUP2-R12428","BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.61MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.61MM X 30M","640 || 948","729397.00 || 729397.00",212.00,0.00,CAB-PTRB209061,640,729397.00,APPROVE,CAB-PTRB209061,640,729397.00,"Auto-prefilled from approval recommendations"
PTRB209081,"category,bulk_capacity",2,"CAB-PTRB209081 || CAB-PTRB209081-DUP2-R12429","BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.81MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.81MM X 30M","640 || 948","944173.00 || 944173.00",201.00,0.00,CAB-PTRB209081,640,944173.00,APPROVE,CAB-PTRB209081,640,944173.00,"Auto-prefilled from approval recommendations"
PTRB213061,"category,bulk_capacity",2,"CAB-PTRB213061 || CAB-PTRB213061-DUP2-R12430","BRASSCO PIPA TBG ROL ASTM B280 1/2 X 0.61MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 1/2 X 0.61MM X 30M","640 || 948","993184.00 || 993184.00",102.00,0.00,CAB-PTRB213061,640,993184.00,APPROVE,CAB-PTRB213061,640,993184.00,"Auto-prefilled from approval recommendations"
PTRB216071,"category,bulk_capacity",2,"CAB-PTRB216071 || CAB-PTRB216071-DUP2-R12432","BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.71MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.71MM X 30M","640 || 948","1443041.00 || 1443041.00",46.00,0.00,CAB-PTRB216071,640,1443041.00,APPROVE,CAB-PTRB216071,640,1443041.00,"Auto-prefilled from approval recommendations"
PTRB216089,"category,bulk_capacity",2,"CAB-PTRB216089 || CAB-PTRB216089-DUP2-R12433","BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.89MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.89MM X 30M","640 || 948","1790323.00 || 1790323.00",53.00,0.00,CAB-PTRB216089,640,1790323.00,APPROVE,CAB-PTRB216089,640,1790323.00,"Auto-prefilled from approval recommendations"
PTRB219071,"category,bulk_capacity",2,"CAB-PTRB219071 || CAB-PTRB219071-DUP2-R12434","BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.71MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.71MM X 30M","640 || 948","1748663.00 || 1748663.00",87.00,0.00,CAB-PTRB219071,640,1748663.00,APPROVE,CAB-PTRB219071,640,1748663.00,"Auto-prefilled from approval recommendations"
PTRB219089,"category,bulk_capacity",2,"CAB-PTRB219089 || CAB-PTRB219089-DUP2-R12435","BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.89MM X 30M || BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.89MM X 30M","640 || 948","2177164.00 || 2177164.00",102.00,0.00,CAB-PTRB219089,640,2177164.00,APPROVE,CAB-PTRB219089,640,2177164.00,"Auto-prefilled from approval recommendations"
