target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001006005100,"category,bulk_capacity",CAB-001006005100,"COPPER TUBE PVC COATED 1/4'' X 1.00MM",640,26,0.00,230273.00,0.00,"Non Pajak",0.00,100,100,,0.00,0.00,720.00,1.00
001006005100,"category,bulk_capacity",CAB-001006005100-DUP2-R14238,"COPPER TUBE PVC COATED 1/4 X 1.00MM",7,26,0.00,230273.00,0.00,"Non Pajak",0.00,50,100,,0.00,0.00,0.00,1.00
PTRB206061,"category,bulk_capacity",CAB-PTRB206061,"BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.61MM X 30M",640,30,410889.00,746970.00,0.00,Inklusif,11.00,1,1,,468586.00,0.00,0.00,1.00
PTRB206061,"category,bulk_capacity",CAB-PTRB206061-DUP2-R12426,"BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.61MM X 30M",948,30,410889.00,746970.00,0.00,Inklusif,11.00,5,1,,468586.00,322.00,0.00,1.00
PTRB206076,"category,bulk_capacity",CAB-PTRB206076,"BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.76MM X 30M",640,30,500548.00,893550.00,0.00,Inklusif,11.00,6,1,,570810.00,0.00,0.00,1.00
PTRB206076,"category,bulk_capacity",CAB-PTRB206076-DUP2-R12427,"BRASSCO PIPA TBG ROL ASTM B280 1/4 X 0.76MM X 30M",948,30,500548.00,893550.00,0.00,Inklusif,11.00,5,1,,570810.00,300.00,0.00,1.00
PTRB209061,"category,bulk_capacity",CAB-PTRB209061,"BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.61MM X 30M",640,30,639588.00,1144500.00,0.00,Inklusif,11.00,6,1,,729397.00,0.00,0.00,1.00
PTRB209061,"category,bulk_capacity",CAB-PTRB209061-DUP2-R12428,"BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.61MM X 30M",948,30,639588.00,1144500.00,0.00,Inklusif,11.00,5,1,,729397.00,212.00,0.00,1.00
PTRB209081,"category,bulk_capacity",CAB-PTRB209081,"BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.81MM X 30M",640,30,827948.00,1483650.00,0.00,Inklusif,11.00,6,1,,944173.00,0.00,0.00,1.00
PTRB209081,"category,bulk_capacity",CAB-PTRB209081-DUP2-R12429,"BRASSCO PIPA TBG ROL ASTM B280 3/8 X 0.81MM X 30M",948,30,827948.00,1483650.00,0.00,Inklusif,11.00,5,1,,944173.00,201.00,0.00,1.00
PTRB213061,"category,bulk_capacity",CAB-PTRB213061,"BRASSCO PIPA TBG ROL ASTM B280 1/2 X 0.61MM X 30M",640,30,870898.00,1554000.00,0.00,Inklusif,11.00,6,1,,993184.00,0.00,0.00,1.00
PTRB213061,"category,bulk_capacity",CAB-PTRB213061-DUP2-R12430,"BRASSCO PIPA TBG ROL ASTM B280 1/2 X 0.61MM X 30M",948,30,870898.00,1554000.00,0.00,Inklusif,11.00,4,1,,993184.00,102.00,0.00,1.00
PTRB216071,"category,bulk_capacity",CAB-PTRB216071,"BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.71MM X 30M",640,30,1265393.00,2331000.00,0.00,Inklusif,11.00,6,1,,1443041.00,0.00,0.00,1.00
PTRB216071,"category,bulk_capacity",CAB-PTRB216071-DUP2-R12432,"BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.71MM X 30M",948,30,1265393.00,2331000.00,0.00,Inklusif,11.00,2,1,,1443041.00,46.00,0.00,1.00
PTRB216089,"category,bulk_capacity",CAB-PTRB216089,"BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.89MM X 30M",640,30,1569921.00,2803500.00,0.00,Inklusif,11.00,6,1,,1790323.00,0.00,0.00,1.00
PTRB216089,"category,bulk_capacity",CAB-PTRB216089-DUP2-R12433,"BRASSCO PIPA TBG ROL ASTM B280 5/8 X 0.89MM X 30M",948,30,1569921.00,2803500.00,0.00,Inklusif,11.00,2,1,,1790323.00,53.00,0.00,1.00
PTRB219071,"category,bulk_capacity",CAB-PTRB219071,"BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.71MM X 30M",640,30,1533434.00,2740500.00,0.00,Inklusif,11.00,6,1,,1748663.00,0.00,0.00,1.00
PTRB219071,"category,bulk_capacity",CAB-PTRB219071-DUP2-R12434,"BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.71MM X 30M",948,30,1533434.00,2740500.00,0.00,Inklusif,11.00,2,1,,1748663.00,87.00,0.00,1.00
PTRB219089,"category,bulk_capacity",CAB-PTRB219089,"BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.89MM X 30M",640,30,1909294.00,3402000.00,0.00,Inklusif,11.00,6,1,,2177164.00,0.00,0.00,1.00
PTRB219089,"category,bulk_capacity",CAB-PTRB219089-DUP2-R12435,"BRASSCO PIPA TBG ROL ASTM B280 3/4 X 0.89MM X 30M",948,30,1909294.00,3402000.00,0.00,Inklusif,11.00,2,1,,2177164.00,102.00,0.00,1.00
