target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001001009076,"category,bulk_sell_qty",2,"CAB-001001009076 || CAB-001001009076-DUP2-R14226","COPPER TUBE ASTM B819 TYPE L 3/8 X 0.76MM x 5.8M || COPPER TUBE ASTM B819 TYPE L 3/8 X 0.76MM x 5.8M","347 || 7","139838.00 || 139838.00",26.00,26.00,CAB-001001009076,347,139838.00,,,,,
001001009089,"category,bulk_sell_qty",2,"CAB-001001009089 || CAB-001001009089-DUP2-R14212","COPPER TUBE ASTM B819 TYPE K 3/8 X 0.89MM X 5.8M || COPPER TUBE ASTM B819 TYPE K 3/8 X 0.89MM X 5.8M","517 || 7","225833.00 || 225833.00",0.00,0.00,CAB-001001009089,517,225833.00,,,,,
001001013089,"category,bulk_sell_qty",2,"CAB-001001013089 || CAB-001001013089-DUP2-R14220","COPPER TUBE ASTM B819 TYPE L 1/2 X 0.89MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 1/2 X 0.89MM X 5.8M","347 || 7","213689.00 || 213689.00",0.00,0.00,CAB-001001013089,347,213689.00,,,,,
001001016102,"category,bulk_sell_qty",2,"CAB-001001016102 || CAB-001001016102-DUP2-R14228","COPPER TUBE ASTM B819 TYPE L 5/8 X 1.02MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 5/8 X 1.02MM X 5.8M","514 || 7","350532.00 || 350532.00",0.00,0.00,CAB-001001016102,514,350532.00,,,,,
001001019107,"category,bulk_sell_qty",2,"CAB-001001019107 || CAB-001001019107-DUP2-R14225","COPPER TUBE ASTM B819 TYPE L 3/4 X 1.07MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 3/4 X 1.07MM X 5.8M","514 || 7","383573.00 || 383573.00",0.00,0.00,CAB-001001019107,514,383573.00,,,,,
001001022114,"category,bulk_sell_qty",2,"CAB-001001022114 || CAB-001001022114-DUP2-R14229","COPPER TUBE ASTM B819 TYPE L 7/8 X 1.14MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 7/8 X 1.14MM X 5.8M","514 || 7","492851.00 || 492851.00",3.00,0.00,CAB-001001022114,514,492851.00,,,,,
001001025120,"category,bulk_sell_qty",2,"CAB-001001025120 || CAB-001001025120-DUP2-R14219","COPPER TUBE ASTM B819 TYPE L 1 X 1.20MM X 5.8M || COPPER TUBE ASTM B819 TYPE L 1 X 1.20MM X 5.8M","514 || 7","595561.00 || 595561.00",0.00,0.00,CAB-001001025120,514,595561.00,,,,,
001002006061,"category,bulk_sell_qty",2,"CAB-001002006061 || CAB-001002006061-DUP2-R14066","COPPER TUBE ASTM B280 1/4 X 0,61MM X 5,8MTR || COPPER TUBE ASTM B280 1/4 X 0,61MM X 5,8MTR","353 || 45","124000.00 || 124000.00",0.00,0.00,CAB-001002006061,353,124000.00,,,,,
001002009071,"category,bulk_sell_qty",2,"CAB-001002009071 || CAB-001002009071-DUP2-R14103","COPPER TUBE ASTM B280 3/8 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 3/8 X 0.71MM X 5.8M","517 || 198","133106.00 || 133106.00",1.00,1.00,CAB-001002009071,517,133106.00,,,,,
001002009076,"category,bulk_sell_qty",2,"CAB-001002009076 || CAB-001002009076-DUP2-R14195","COPPER TUBE ASTM B280 TYPE L 3/8 X 0.76MM X 5.8M || COPPER TUBE ASTM B280 TYPE L 3/8 X 0.76MM X 5.8M","353 || 45","200000.00 || 200000.00",0.00,0.00,CAB-001002009076,353,200000.00,,,,,
001002013071,"category,bulk_sell_qty",2,"CAB-001002013071 || CAB-001002013071-DUP2-R14057","COPPER TUBE ASTM B280 1/2 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 1/2 X 0.71MM X 5.8M","514 || 198","265000.00 || 265000.00",0.00,0.00,CAB-001002013071,514,265000.00,,,,,
001002013100,"category,bulk_sell_qty",2,"CAB-001002013100 || CAB-001002013100-DUP2-R14060","COPPER TUBE ASTM B280 1/2 X 1.00MM X 5.8M || COPPER TUBE ASTM B280 1/2 X 1.00MM X 5.8M","517 || 198","353333.00 || 353333.00",13.00,13.00,CAB-001002013100,517,353333.00,,,,,
001002016102,"category,bulk_sell_qty",2,"CAB-001002016102 || CAB-001002016102-DUP2-R14196","COPPER TUBE ASTM B280 TYPE L 5/8 X 1.02MM || COPPER TUBE ASTM B280 TYPE L 5/8 X 1.02MM","514 || 195","430833.00 || 430833.00",0.00,0.00,CAB-001002016102,514,430833.00,,,,,
001002019051,"category,bulk_sell_qty",2,"CAB-001002019051 || CAB-001002019051-DUP2-R14090","COPPER TUBE ASTM B280 3/4 X 0.51MM X 5.8M || COPPER TUBE ASTM B280 3/4 X 0.51MM X 5.8M","517 || 198","268750.00 || 268750.00",159.00,20.00,CAB-001002019051,517,268750.00,,,,,
001002019091,"category,bulk_sell_qty",2,"CAB-001002019091 || CAB-001002019091-DUP2-R14094","COPPER TUBE ASTM B280 3/4 X 0.91MM X 5.8M || COPPER TUBE ASTM B280 3/4 X 0.91MM X 5.8M","517 || 198","469167.00 || 469167.00",2.00,0.00,CAB-001002019091,517,469167.00,,,,,
001002022091,"category,bulk_sell_qty",2,"CAB-001002022091 || CAB-001002022091-DUP2-R14133","COPPER TUBE ASTM B280 7/8 X 0.91MM X 5.8M || COPPER TUBE ASTM B280 7/8 X 0.91MM X 5.8M","517 || 198","551250.00 || 551250.00",0.00,0.00,CAB-001002022091,517,551250.00,,,,,
001002022114,"category,bulk_sell_qty",2,"CAB-001002022114 || CAB-001002022114-DUP2-R14197","COPPER TUBE ASTM B280 TYPE L 7/8 X 1.14MM X 5.8M || COPPER TUBE ASTM B280 TYPE L 7/8 X 1.14MM X 5.8M","517 || 198","682917.00 || 682917.00",0.00,3.00,CAB-001002022114,517,682917.00,,,,,
001002028071,"category,bulk_sell_qty",2,"CAB-001002028071 || CAB-001002028071-DUP2-R14024","COPPER TUBE ASTM B280 1 1/8 X 0.71MM X 5.8M || COPPER TUBE ASTM B280 1 1/8 X 0.71MM X 5.8M","514 || 198","562500.00 || 562500.00",1.00,0.00,CAB-001002028071,514,562500.00,,,,,
001002028091,"category,bulk_sell_qty",2,"CAB-001002028091 || CAB-001002028091-DUP2-R14026","COPPER TUBE ASTM B280 1 1/8 X 0.91MM X 5.8M || COPPER TUBE ASTM B280 1 1/8 X 0.91MM X 5.8M","517 || 198","715417.00 || 715417.00",0.00,0.00,CAB-001002028091,517,715417.00,,,,,
001002032120,"category,bulk_sell_qty",2,"CAB-001002032120 || CAB-001002032120-DUP2-R14193","COPPER TUBE ASTM B280 TYPE L 1 1/4 X 1.20MM || COPPER TUBE ASTM B280 TYPE L 1 1/4 X 1.20MM","517 || 198","1125833.00 || 1125833.00",0.00,0.00,CAB-001002032120,517,1125833.00,,,,,
001002035071,"category,bulk_sell_qty",2,"CAB-001002035071 || CAB-001002035071-DUP2-R14037","COPPER TUBE ASTM B280 1 3/8'' X 0.71MM X 5.8M || COPPER TUBE ASTM B280 1 3/8 X 0.71MM X 5.8M","517 || 198","690417.00 || 690417.00",0.00,0.00,CAB-001002035071,517,690417.00,,,,,
001002035100,"category,bulk_sell_qty",2,"CAB-001002035100 || CAB-001002035100-DUP2-R14038","COPPER TUBE ASTM B280 1 3/8'' X 1.00MM X 5.8M || COPPER TUBE ASTM B280 1 3/8 X 1.00MM X 5.8M","517 || 198","964167.00 || 964167.00",0.00,0.00,CAB-001002035100,517,964167.00,,,,,
001002042081,"category,bulk_sell_qty",2,"CAB-001002042081 || CAB-001002042081-DUP2-R14045","COPPER TUBE ASTM B280 1 5/8'' X 0.81MM X 5.8M || COPPER TUBE ASTM B280 1 5/8 X 0.81MM X 5.8M","517 || 198","1083333.00 || 1083333.00",54.00,0.00,CAB-001002042081,517,1083333.00,,,,,
001002054091,"category,bulk_sell_qty",2,"CAB-001002054091 || CAB-001002054091-DUP2-R14077","COPPER TUBE ASTM B280 2 1/8 X 0.91MM X 5.8M || COPPER TUBE ASTM B280 2 1/8 X 0.91MM X 5.8M","517 || 198","1372083.00 || 1372083.00",0.00,0.00,CAB-001002054091,517,1372083.00,,,,,
001004006100,"category,bulk_sell_qty",2,"CAB-001004006100 || CAB-001004006100-DUP2-R14160","COPPER TUBE ASTM B280 ROL 1/4 X 1.00MM || COPPER TUBE ASTM B280 ROL 1/4 X 1.00MM","517 || 198","461250.00 || 461250.00",0.00,0.00,CAB-001004006100,517,461250.00,,,,,
001004008100,"category,bulk_sell_qty",2,"CAB-001004008100 || CAB-001004008100-DUP2-R14192","COPPER TUBE ASTM B280 ROL 8.00MM X 1.00MM || COPPER TUBE ASTM B280 ROL 8.00MM X 1.00MM","514 || 195","587500.00 || 587500.00",0.00,0.00,CAB-001004008100,514,587500.00,,,,,
001004009081,"category,bulk_sell_qty",2,"CAB-001004009081 || CAB-001004009081-DUP2-R14176","COPPER TUBE ASTM B280 ROL 3/8 X 0.81MM || COPPER TUBE ASTM B280 ROL 3/8 X 0.81MM","517 || 198","556667.00 || 556667.00",0.00,0.00,CAB-001004009081,517,556667.00,,,,,
