target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001001006071,"category,bulk_sell_qty,biaya",CAB-001001006071,"COPPER TUBE ASTM B819 TYPE L 1/4 X 0.71MM x 5.8M",517,9,116667.00,162855.00,0.00,"Non Pajak",0.00,1,1,BCO,139950.00,29.00,29.00,1.00
001001006071,"category,bulk_sell_qty,biaya",CAB-001001006071-DUP2-R14221,"COPPER TUBE ASTM B819 TYPE L 1/4 X 0.71MM x 5.8M",7,9,116667.00,162855.00,0.00,"Non Pajak",0.00,1,10000,BCO,116667.00,64.00,0.00,1.00
001001028127,"category,bulk_sell_qty,biaya",CAB-001001028127,"COPPER TUBE ASTM B819 TYPE L 1 1/8 X 1.27MM x 5.8M",514,9,852228.00,1410150.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,1116000.00,2.00,4.00,1.00
001001028127,"category,bulk_sell_qty,biaya",CAB-001001028127-DUP2-R14216,"COPPER TUBE ASTM B819 TYPE L 1 1/8 X 1.27MM x 5.8M",7,9,852228.00,1410150.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,852228.00,72.00,0.00,1.00
001001035140,"category,bulk_sell_qty,biaya",CAB-001001035140,"COPPER TUBE ASTM B819 TYPE L 1 3/8 X 1.40MM X 5.8M",514,9,986436.00,1869315.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,1602270.00,1.00,1.00,1.00
001001035140,"category,bulk_sell_qty,biaya",CAB-001001035140-DUP2-R14217,"COPPER TUBE ASTM B819 TYPE L 1 3/8 X 1.40MM X 5.8M",195,9,986436.00,1869315.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,1080937.00,500.00,0.00,1.00
001002013051,"category,bulk_sell_qty,biaya",CAB-001002013051,"COPPER TUBE ASTM B280 1/2 X 0.51MM X 5.8M",529,9,165000.00,240800.00,0.00,"Non Pajak",0.00,1,1,BCO,216900.00,35.00,40.00,1.00
001002013051,"category,bulk_sell_qty,biaya",CAB-001002013051-DUP2-R14055,"COPPER TUBE ASTM B280 1/2 X 0.51MM X 5.8M",210,9,165000.00,240800.00,0.00,"Non Pajak",0.00,1,10000,BCO,0.00,426.00,0.00,1.00
001002016071,"category,bulk_sell_qty,biaya",CAB-001002016071,"COPPER TUBE ASTM B280 5/8 X 0.71MM X 5.8M",517,9,285721.00,417100.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,375750.00,3.00,3.00,1.00
001002016071,"category,bulk_sell_qty,biaya",CAB-001002016071-DUP2-R14116,"COPPER TUBE ASTM B280 5/8 X 0.71MM X 5.8M",198,9,285721.00,417100.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,285721.00,0.00,0.00,1.00
