target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001001009076,"category,bulk_sell_qty",CAB-001001009076,"COPPER TUBE ASTM B819 TYPE L 3/8 X 0.76MM x 5.8M",347,9,139838.00,270690.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,139838.00,26.00,26.00,1.00
001001009076,"category,bulk_sell_qty",CAB-001001009076-DUP2-R14226,"COPPER TUBE ASTM B819 TYPE L 3/8 X 0.76MM x 5.8M",7,9,139838.00,270690.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,139838.00,0.00,0.00,1.00
001001009089,"category,bulk_sell_qty",CAB-001001009089,"COPPER TUBE ASTM B819 TYPE K 3/8 X 0.89MM X 5.8M",517,9,225833.00,312270.00,0.00,"Non Pajak",0.00,1,1,BR,225833.00,0.00,0.00,1.00
001001009089,"category,bulk_sell_qty",CAB-001001009089-DUP2-R14212,"COPPER TUBE ASTM B819 TYPE K 3/8 X 0.89MM X 5.8M",7,9,225833.00,312270.00,0.00,"Non Pajak",0.00,1,10000,BR,225833.00,0.00,0.00,1.00
001001013089,"category,bulk_sell_qty",CAB-001001013089,"COPPER TUBE ASTM B819 TYPE L 1/2 X 0.89MM X 5.8M",347,9,213689.00,427350.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,213689.00,0.00,0.00,1.00
001001013089,"category,bulk_sell_qty",CAB-001001013089-DUP2-R14220,"COPPER TUBE ASTM B819 TYPE L 1/2 X 0.89MM X 5.8M",7,9,213689.00,427350.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,213689.00,0.00,0.00,1.00
001001016102,"category,bulk_sell_qty",CAB-001001016102,"COPPER TUBE ASTM B819 TYPE L 5/8 X 1.02MM X 5.8M",514,9,350532.00,616245.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,350532.00,0.00,0.00,1.00
001001016102,"category,bulk_sell_qty",CAB-001001016102-DUP2-R14228,"COPPER TUBE ASTM B819 TYPE L 5/8 X 1.02MM X 5.8M",7,9,350532.00,616245.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,350532.00,0.00,0.00,1.00
001001019107,"category,bulk_sell_qty",CAB-001001019107,"COPPER TUBE ASTM B819 TYPE L 3/4 X 1.07MM X 5.8M",514,9,383573.00,782250.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,383573.00,0.00,0.00,1.00
001001019107,"category,bulk_sell_qty",CAB-001001019107-DUP2-R14225,"COPPER TUBE ASTM B819 TYPE L 3/4 X 1.07MM X 5.8M",7,9,383573.00,782250.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,383573.00,0.00,0.00,1.00
001001022114,"category,bulk_sell_qty",CAB-001001022114,"COPPER TUBE ASTM B819 TYPE L 7/8 X 1.14MM X 5.8M",514,9,492851.00,977025.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,492851.00,3.00,0.00,1.00
001001022114,"category,bulk_sell_qty",CAB-001001022114-DUP2-R14229,"COPPER TUBE ASTM B819 TYPE L 7/8 X 1.14MM X 5.8M",7,9,492851.00,977025.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,492851.00,0.00,0.00,1.00
001001025120,"category,bulk_sell_qty",CAB-001001025120,"COPPER TUBE ASTM B819 TYPE L 1 X 1.20MM X 5.8M",514,9,595561.00,1180725.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,595561.00,0.00,0.00,1.00
001001025120,"category,bulk_sell_qty",CAB-001001025120-DUP2-R14219,"COPPER TUBE ASTM B819 TYPE L 1 X 1.20MM X 5.8M",7,9,595561.00,1180725.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,595561.00,0.00,0.00,1.00
001002006061,"category,bulk_sell_qty",CAB-001002006061,"COPPER TUBE ASTM B280 1/4 X 0,61MM X 5,8MTR",353,9,0.00,135600.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,124000.00,0.00,0.00,1.00
001002006061,"category,bulk_sell_qty",CAB-001002006061-DUP2-R14066,"COPPER TUBE ASTM B280 1/4 X 0,61MM X 5,8MTR",45,9,0.00,135600.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,124000.00,0.00,0.00,1.00
001002009071,"category,bulk_sell_qty",CAB-001002009071,"COPPER TUBE ASTM B280 3/8 X 0.71MM X 5.8M",517,9,133106.00,242500.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,133106.00,1.00,1.00,1.00
001002009071,"category,bulk_sell_qty",CAB-001002009071-DUP2-R14103,"COPPER TUBE ASTM B280 3/8 X 0.71MM X 5.8M",198,9,133106.00,242500.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,133106.00,0.00,0.00,1.00
001002009076,"category,bulk_sell_qty",CAB-001002009076,"COPPER TUBE ASTM B280 TYPE L 3/8 X 0.76MM X 5.8M",353,9,0.00,257800.00,0.00,"Non Pajak",0.00,1,1,,200000.00,0.00,0.00,1.00
001002009076,"category,bulk_sell_qty",CAB-001002009076-DUP2-R14195,"COPPER TUBE ASTM B280 TYPE L 3/8 X 0.76MM X 5.8M",45,9,0.00,257800.00,0.00,"Non Pajak",0.00,1,10000,,200000.00,0.00,0.00,1.00
001002013071,"category,bulk_sell_qty",CAB-001002013071,"COPPER TUBE ASTM B280 1/2 X 0.71MM X 5.8M",514,9,265000.00,329700.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,265000.00,0.00,0.00,1.00
001002013071,"category,bulk_sell_qty",CAB-001002013071-DUP2-R14057,"COPPER TUBE ASTM B280 1/2 X 0.71MM X 5.8M",198,9,265000.00,329700.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,265000.00,0.00,0.00,1.00
001002013100,"category,bulk_sell_qty",CAB-001002013100,"COPPER TUBE ASTM B280 1/2 X 1.00MM X 5.8M",517,9,353333.00,453000.00,0.00,"Non Pajak",0.00,1,1,BCO,353333.00,13.00,13.00,1.00
001002013100,"category,bulk_sell_qty",CAB-001002013100-DUP2-R14060,"COPPER TUBE ASTM B280 1/2 X 1.00MM X 5.8M",198,9,353333.00,453000.00,0.00,"Non Pajak",0.00,1,10000,BCO,353333.00,0.00,0.00,1.00
001002016102,"category,bulk_sell_qty",CAB-001002016102,"COPPER TUBE ASTM B280 TYPE L 5/8 X 1.02MM",514,9,430833.00,616245.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,430833.00,0.00,0.00,1.00
001002016102,"category,bulk_sell_qty",CAB-001002016102-DUP2-R14196,"COPPER TUBE ASTM B280 TYPE L 5/8 X 1.02MM",195,9,430833.00,616245.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,430833.00,0.00,0.00,1.00
001002019051,"category,bulk_sell_qty",CAB-001002019051,"COPPER TUBE ASTM B280 3/4 X 0.51MM X 5.8M",517,9,268750.00,366200.00,0.00,"Non Pajak",0.00,1,1,BCO,268750.00,0.00,20.00,1.00
001002019051,"category,bulk_sell_qty",CAB-001002019051-DUP2-R14090,"COPPER TUBE ASTM B280 3/4 X 0.51MM X 5.8M",198,9,268750.00,366200.00,0.00,"Non Pajak",0.00,1,10000,BCO,268750.00,159.00,0.00,1.00
001002019091,"category,bulk_sell_qty",CAB-001002019091,"COPPER TUBE ASTM B280 3/4 X 0.91MM X 5.8M",517,9,469167.00,639200.00,0.00,"Non Pajak",0.00,1,1,BCO,469167.00,1.00,0.00,1.00
001002019091,"category,bulk_sell_qty",CAB-001002019091-DUP2-R14094,"COPPER TUBE ASTM B280 3/4 X 0.91MM X 5.8M",198,9,469167.00,639200.00,0.00,"Non Pajak",0.00,1,10000,BCO,469167.00,1.00,0.00,1.00
001002022091,"category,bulk_sell_qty",CAB-001002022091,"COPPER TUBE ASTM B280 7/8 X 0.91MM X 5.8M",517,9,551250.00,750900.00,0.00,"Non Pajak",0.00,1,1,BR,551250.00,0.00,0.00,1.00
001002022091,"category,bulk_sell_qty",CAB-001002022091-DUP2-R14133,"COPPER TUBE ASTM B280 7/8 X 0.91MM X 5.8M",198,9,551250.00,750900.00,0.00,"Non Pajak",0.00,1,10000,BR,551250.00,0.00,0.00,1.00
001002022114,"category,bulk_sell_qty",CAB-001002022114,"COPPER TUBE ASTM B280 TYPE L 7/8 X 1.14MM X 5.8M",517,9,682917.00,930500.00,0.00,"Non Pajak",0.00,1,1,BCO,682917.00,0.00,3.00,1.00
001002022114,"category,bulk_sell_qty",CAB-001002022114-DUP2-R14197,"COPPER TUBE ASTM B280 TYPE L 7/8 X 1.14MM X 5.8M",198,9,682917.00,930500.00,0.00,"Non Pajak",0.00,1,10000,BCO,682917.00,0.00,0.00,1.00
001002028071,"category,bulk_sell_qty",CAB-001002028071,"COPPER TUBE ASTM B280 1 1/8 X 0.71MM X 5.8M",514,9,562500.00,766200.00,0.00,"Non Pajak",0.00,1,1,BRASSCO,562500.00,0.00,0.00,1.00
001002028071,"category,bulk_sell_qty",CAB-001002028071-DUP2-R14024,"COPPER TUBE ASTM B280 1 1/8 X 0.71MM X 5.8M",198,9,562500.00,766200.00,0.00,"Non Pajak",0.00,1,10000,BRASSCO,562500.00,1.00,0.00,1.00
001002028091,"category,bulk_sell_qty",CAB-001002028091,"COPPER TUBE ASTM B280 1 1/8 X 0.91MM X 5.8M",517,9,715417.00,975000.00,0.00,"Non Pajak",0.00,1,1,BCO,715417.00,0.00,0.00,1.00
001002028091,"category,bulk_sell_qty",CAB-001002028091-DUP2-R14026,"COPPER TUBE ASTM B280 1 1/8 X 0.91MM X 5.8M",198,9,715417.00,975000.00,0.00,"Non Pajak",0.00,1,10000,BCO,715417.00,0.00,0.00,1.00
001002032120,"category,bulk_sell_qty",CAB-001002032120,"COPPER TUBE ASTM B280 TYPE L 1 1/4 X 1.20MM",517,9,1125833.00,1421800.00,0.00,"Non Pajak",0.00,1,1,BCO,1125833.00,0.00,0.00,1.00
001002032120,"category,bulk_sell_qty",CAB-001002032120-DUP2-R14193,"COPPER TUBE ASTM B280 TYPE L 1 1/4 X 1.20MM",198,9,1125833.00,1421800.00,0.00,"Non Pajak",0.00,1,10000,BCO,1125833.00,0.00,0.00,1.00
001002035071,"category,bulk_sell_qty",CAB-001002035071,"COPPER TUBE ASTM B280 1 3/8'' X 0.71MM X 5.8M",517,9,690417.00,940800.00,0.00,"Non Pajak",0.00,1,1,BCO,690417.00,0.00,0.00,1.00
001002035071,"category,bulk_sell_qty",CAB-001002035071-DUP2-R14037,"COPPER TUBE ASTM B280 1 3/8 X 0.71MM X 5.8M",198,9,690417.00,940800.00,0.00,"Non Pajak",0.00,1,10000,BCO,690417.00,0.00,0.00,1.00
001002035100,"category,bulk_sell_qty",CAB-001002035100,"COPPER TUBE ASTM B280 1 3/8'' X 1.00MM X 5.8M",517,9,964167.00,1313800.00,0.00,"Non Pajak",0.00,1,1,BCO,964167.00,0.00,0.00,1.00
001002035100,"category,bulk_sell_qty",CAB-001002035100-DUP2-R14038,"COPPER TUBE ASTM B280 1 3/8 X 1.00MM X 5.8M",198,9,964167.00,1313800.00,0.00,"Non Pajak",0.00,1,10000,BCO,964167.00,0.00,0.00,1.00
001002042081,"category,bulk_sell_qty",CAB-001002042081,"COPPER TUBE ASTM B280 1 5/8'' X 0.81MM X 5.8M",517,9,1083333.00,1299559.00,0.00,"Non Pajak",0.00,1,1,PRO,1083333.00,0.00,0.00,1.00
