target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001002009120,"category,cost,biaya",CAB-001002009120,"COPPER TUBE ASTM B280 3/8 X 1.20 MM",640,9,310417.00,405930.00,0.00,"Non Pajak",0.00,1,10000,,310417.00,0.00,0.00,1.00
001002009120,"category,cost,biaya",CAB-001002009120-DUP2-R14107,"COPPER TUBE ASTM B280 3/8 X 1.20 MM",7,9,387000.00,405930.00,0.00,"Non Pajak",0.00,1,10000,,325080.00,48.00,0.00,1.00
001002016120,"category,cost,biaya",CAB-001002016120,"COPPER TUBE ASTM B280 5/8 X TYPE K",640,9,682100.00,716205.00,0.00,"Non Pajak",0.00,1,10000,,613890.00,0.00,6.00,1.00
001002016120,"category,cost,biaya",CAB-001002016120-DUP2-R14123,"COPPER TUBE ASTM B280 5/8 X TYPE K",7,9,534583.00,716205.00,0.00,"Non Pajak",0.00,1,10000,,534583.00,49.00,0.00,1.00
001004006056,"category,cost,biaya",CAB-001004006056,"COPPER TUBE ASTM B280 ROL 1/4 X 0.56 MM",640,30,324700.00,340935.00,0.00,"Non Pajak",0.00,1,10000,,292230.00,14.00,28.00,1.00
001004006056,"category,cost,biaya",CAB-001004006056-DUP2-R14155,"COPPER TUBE ASTM B280 ROL 1/4 X 0.56 MM",7,30,225000.00,340935.00,0.00,"Non Pajak",0.00,1,10000,,225000.00,108.00,0.00,1.00
001004009100,"category,cost,biaya",CAB-001004009100,"COPPER TUBE ASTM B280 ROL 3/8 X 1.00 MM",640,30,1044400.00,1096620.00,0.00,"Non Pajak",0.00,1,10000,,939960.00,1.00,4.00,1.00
001004009100,"category,cost,biaya",CAB-001004009100-DUP2-R14177,"COPPER TUBE ASTM B280 ROL 3/8 X 1.00 MM",7,30,813000.00,1096620.00,0.00,"Non Pajak",0.00,1,10000,,813000.00,2.00,0.00,1.00
002001000035,"category,cost,biaya",CAB-002001000035,"COPPER TEE 1 3/8",635,28,88000.00,88000.00,0.00,"Non Pajak",0.00,1,10000,,74800.00,5.00,9.00,1.00
002001000035,"category,cost,biaya",CAB-002001000035-DUP2-R13930,"COPPER TEE 1 3/8",309,28,62333.00,88000.00,0.00,"Non Pajak",0.00,1,10000,,62333.00,410.00,0.00,1.00
002003000054,"category,cost,biaya",CAB-002003000054,"COPPER ELBO 2 1/8",635,28,129167.00,155000.00,0.00,"Non Pajak",0.00,1,10000,,131750.00,0.00,0.00,1.00
002003000054,"category,cost,biaya",CAB-002003000054-DUP2-R13696,"COPPER ELBO 2 1/8",309,28,130200.00,155000.00,0.00,"Non Pajak",0.00,1,10000,,130200.00,0.00,0.00,1.00
002004000042,"category,cost,biaya",CAB-002004000042,"COPPER 45D ELBO 1 5/8",635,28,130000.00,156000.00,0.00,"Non Pajak",0.00,1,10000,,132600.00,0.00,0.00,1.00
002004000042,"category,cost,biaya",CAB-002004000042-DUP2-R13656,"COPPER 45D ELBO 1 5/8",309,28,131040.00,156000.00,0.00,"Non Pajak",0.00,1,10000,,131040.00,0.00,0.00,1.00
002008020022,"category,cost,biaya",CAB-002008020022,"COPPER MALE UNION 3/4 X 7/8",635,28,154583.00,185500.00,0.00,"Non Pajak",0.00,1,10000,,157675.00,0.00,0.00,1.00
002008020022,"category,cost,biaya",CAB-002008020022-DUP2-R13774,"COPPER MALE UNION 3/4 X 7/8",309,28,156240.00,185500.00,0.00,"Non Pajak",0.00,1,10000,,156240.00,466.00,0.00,1.00
002013013009,"category,cost,biaya",CAB-002013013009,"COPPER TEE REDUCER 1/2 X 3/8",635,28,19000.00,29500.00,0.00,"Non Pajak",0.00,1,10000,,23241.00,0.00,0.00,1.00
002013013009,"category,cost,biaya",CAB-002013013009-DUP2-R13978,"COPPER TEE REDUCER 1/2 X 3/8",309,28,24583.00,29500.00,0.00,"Non Pajak",0.00,1,10000,,24583.00,1.00,0.00,1.00
002014032035,"category,cost,biaya",CAB-002014032035,"COPPER SOK DRAT LUAR PIPA 1 1/4 X 1 3/8",635,28,70000.00,84000.00,0.00,"Non Pajak",0.00,1,10000,,71400.00,9.00,13.00,1.00
002014032035,"category,cost,biaya",CAB-002014032035-DUP2-R13913,"COPPER SOK DRAT LUAR PIPA 1 1/4 X 1 3/8",309,28,70560.00,84000.00,0.00,"Non Pajak",0.00,1,10000,,70560.00,215.00,0.00,1.00
002014042040,"category,cost,biaya",CAB-002014042040,"COPPER SOK DRAT LUAR PIPA 1 5/8 X DRAT 1 1/2",635,28,100833.00,121000.00,0.00,"Non Pajak",0.00,1,10000,,102850.00,4.00,11.00,1.00
002014042040,"category,cost,biaya",CAB-002014042040-DUP2-R13915,"COPPER SOK DRAT LUAR PIPA 1 5/8 X DRAT 1 1/2",309,28,101640.00,121000.00,0.00,"Non Pajak",0.00,1,10000,,101640.00,327.00,0.00,1.00
002017022016,"category,cost,biaya",CAB-002017022016,"COPPER REDUCER 7/8 X 5/8",635,28,21500.00,21500.00,0.00,"Non Pajak",0.00,1,10000,,18275.00,3.00,7.00,1.00
002017022016,"category,cost,biaya",CAB-002017022016-DUP2-R13863,"COPPER REDUCER 7/8 X 5/8",309,28,17917.00,21500.00,0.00,"Non Pajak",0.00,1,10000,,17917.00,1848.00,0.00,1.00
002017035028,"category,cost,biaya",CAB-002017035028,"COPPER REDUCER 1 3/8 X 1 1/8",635,28,37917.00,45500.00,0.00,"Non Pajak",0.00,1,10000,,38675.00,0.00,0.00,1.00
002017035028,"category,cost,biaya",CAB-002017035028-DUP2-R13792,"COPPER REDUCER 1 3/8 X 1 1/8",309,28,45500.00,45500.00,0.00,"Non Pajak",0.00,1,10000,,38220.00,0.00,0.00,1.00
002017042019,"category,cost,biaya",CAB-002017042019,"COPPER REDUCER 1 5/8 X 3/4",635,28,77917.00,93500.00,0.00,"Non Pajak",0.00,1,10000,,77917.00,0.00,0.00,1.00
002017042019,"category,cost,biaya",CAB-002017042019-DUP2-R13806,"COPPER REDUCER 1 5/8 X 3/4",309,28,95000.00,93500.00,0.00,"Non Pajak",0.00,1,10000,,79800.00,85.00,0.00,1.00
002017042035,"category,cost,biaya",CAB-002017042035,"COPPER REDUCER 1 5/8 X 1 3/8",635,28,56250.00,67500.00,0.00,"Non Pajak",0.00,1,10000,,57375.00,0.00,0.00,1.00
002017042035,"category,cost,biaya",CAB-002017042035-DUP2-R13804,"COPPER REDUCER 1 5/8 X 1 3/8",309,28,36500.00,67500.00,0.00,"Non Pajak",0.00,1,10000,,36500.00,0.00,0.00,1.00
002017054035,"category,cost,biaya",CAB-002017054035,"COPPER REDUCER 2 1/8 X 1 3/8",635,28,105833.00,127000.00,0.00,"Non Pajak",0.00,1,10000,,107950.00,0.00,4.00,1.00
002017054035,"category,cost,biaya",CAB-002017054035-DUP2-R13818,"COPPER REDUCER 2 1/8 X 1 3/8",309,28,107000.00,127000.00,0.00,"Non Pajak",0.00,1,10000,,107000.00,35.00,0.00,1.00
002017054042,"category,cost,biaya",CAB-002017054042,"COPPER REDUCER 2 1/8 X 1 5/8",635,28,105833.00,127000.00,0.00,"Non Pajak",0.00,1,10000,,105833.00,0.00,6.00,1.00
002017054042,"category,cost,biaya",CAB-002017054042-DUP2-R13820,"COPPER REDUCER 2 1/8 X 1 5/8",309,28,107000.00,127000.00,0.00,"Non Pajak",0.00,1,10000,,107000.00,0.00,0.00,1.00
002017067042,"category,cost,biaya",CAB-002017067042,"COPPER REDUCER 2 5/8 X 1 5/8",635,28,260000.00,312000.00,0.00,"Non Pajak",0.00,1,10000,,260000.00,0.00,0.00,1.00
002017067042,"category,cost,biaya",CAB-002017067042-DUP2-R13830,"COPPER REDUCER 2 5/8 X 1 5/8",309,28,262080.00,312000.00,0.00,"Non Pajak",0.00,1,10000,,262080.00,0.00,0.00,1.00
002018000028,"category,cost,biaya",CAB-002018000028,"COPPER ELBO 1 1/8 USA",635,6,0.00,68003.00,0.00,"Non Pajak",0.00,1,1,NIB,61650.00,36.00,36.00,1.00
002018000028,"category,cost,biaya",CAB-002018000028-DUP2-R13683,"COPPER ELBO 1 1/8 USA",309,6,68003.00,68003.00,0.00,"Non Pajak",0.00,1,1,NIB,57123.00,0.00,0.00,1.00
002024016013,"category,cost,biaya",CAB-002024016013,"COPPER REDUCER 5/8 X 1/2 USA",635,28,43000.00,42904.00,0.00,"Non Pajak",0.00,1,10000,,36550.00,0.00,2.00,1.00
002024016013,"category,cost,biaya",CAB-002024016013-DUP2-R13856,"COPPER REDUCER 5/8 X 1/2 USA",309,28,7080.00,42904.00,0.00,"Non Pajak",0.00,1,10000,,7080.00,112.00,0.00,1.00
002026016015,"category,cost,biaya",CAB-002026016015,"COPPER SOK DRAT LUAR 5/8 X 1/2 USA",635,28,44500.00,44406.00,0.00,"Non Pajak",0.00,1,10000,,37825.00,16.00,37.00,1.00
002026016015,"category,cost,biaya",CAB-002026016015-DUP2-R13911,"COPPER SOK DRAT LUAR 5/8 X 1/2 USA",309,28,11050.00,44406.00,0.00,"Non Pajak",0.00,1,10000,,11050.00,489.00,0.00,1.00
002026028025,"category,cost,biaya",CAB-002026028025,"COPPER SOK DRAT LUAR 1 1/8 X 1 USA",635,28,121000.00,120989.00,0.00,"Non Pajak",0.00,1,10000,,102850.00,7.00,102.00,1.00
002026028025,"category,cost,biaya",CAB-002026028025-DUP2-R13906,"COPPER SOK DRAT LUAR 1 1/8 X 1 USA",309,28,32300.00,120989.00,0.00,"Non Pajak",0.00,1,10000,,32300.00,772.00,0.00,1.00
ACBB091616,"category,cost,biaya",CAB-ACBB091616,"BRASSCO PIPA SET 3/8 T0,61MM X 5/8 T0,71MM X 15M",942,30,0.00,1832000.00,0.00,Inklusif,0.00,1,1,BRASSCO,0.00,1.00,0.00,1.00
ACBB091616,"category,cost,biaya",CAB-ACBB091616-DUP2-R20425,"BRASSCO PIPA SET 3/8 T0,61MM X 5/8 T0,71MM X 15M",634,30,1648775.00,1832000.00,0.00,Inklusif,0.00,1,1,BRASSCO,1648775.00,0.00,0.00,1.00
ptbb005050,"category,cost,biaya",CAB-ptbb005050,"BRASSCO PIPA TEMBAGA ASTM B280 3/16 X 0.51MM",353,9,41600.00,86940.00,0.00,Inklusif,11.00,1,10000,BRASSCO,41600.00,0.00,0.00,1.00
ptbb005050,"category,cost,biaya",CAB-ptbb005050-DUP2-R12139,"BRASSCO PIPA TEMBAGA ASTM B280 3/16 X 0.51MM",822,9,82800.00,86940.00,0.00,Inklusif,11.00,1,10000,BRASSCO,69552.00,0.00,0.00,1.00
ptbb006064,"category,cost,biaya",CAB-ptbb006064,"BRASSCO PIPA TEMBAGA ASTM B280 1/4 x 0.61MM",353,9,85488.00,142380.00,0.00,Inklusif,11.00,1,10000,BRASSCO,97553.00,0.00,0.00,1.00
ptbb006064,"category,cost,biaya",CAB-ptbb006064-DUP2-R12140,"BRASSCO PIPA TEMBAGA ASTM B280 1/4 x 0.61MM",822,9,99075.00,142380.00,0.00,Inklusif,11.00,1,10000,BRASSCO,112754.00,220.00,0.00,1.00
PTBB009087,"category,cost,biaya",CAB-PTBB009087,"BRASSCO PIPA ASTM B 68 SOFT TYPE K 3/8 X 0.89MM",514,6,246000.00,312270.00,0.00,Inklusif,11.00,1,1,BRASSCO,235378.00,0.00,0.00,1.00
PTBB009087,"category,cost,biaya",CAB-PTBB009087-DUP2-R12167,"BRASSCO PIPA ASTM B 68 SOFT TYPE K 3/8 X 0.89MM",822,6,183508.00,312270.00,0.00,Inklusif,11.00,1,1,BRASSCO,208282.00,658.00,0.00,1.00
ptbb016050,"category,cost,biaya",CAB-ptbb016050,"BRASSCO PIPA TEMBAGA ASTM B280 5/8 X 0.51MM",514,9,303600.00,318780.00,0.00,Inklusif,11.00,1,10000,BRASSCO,273240.00,0.00,92.00,1.00
ptbb016050,"category,cost,biaya",CAB-ptbb016050-DUP2-R12200,"BRASSCO PIPA TEMBAGA ASTM B280 5/8 X 0.51MM",822,9,177300.00,318780.00,0.00,Inklusif,11.00,1,10000,BRASSCO,213950.00,41.00,0.00,1.00
ptbb016124,"category,cost,biaya",CAB-ptbb016124,"BRASSCO PIPA TEMBAGA ASTM B280 TYPE K 5/8 X 1.24MM",514,9,682100.00,716205.00,0.00,Inklusif,11.00,1,10000,BRASSCO,613890.00,1.00,1.00,1.00
ptbb016124,"category,cost,biaya",CAB-ptbb016124-DUP2-R12210,"BRASSCO PIPA TEMBAGA ASTM B280 TYPE K 5/8 X 1.24MM",822,9,386075.00,716205.00,0.00,Inklusif,11.00,1,10000,BRASSCO,438195.00,17.00,0.00,1.00
ptbb019124,"category,cost,biaya",CAB-ptbb019124,"BRASSCO PIPA TEMBAGA ASTM B819 TYPE K 3/4 X 1.20MM",514,9,558600.00,870870.00,0.00,Inklusif,11.00,1,10000,BRASSCO,558600.00,0.00,0.00,1.00
ptbb019124,"category,cost,biaya",CAB-ptbb019124-DUP2-R12229,"BRASSCO PIPA TEMBAGA ASTM B819 TYPE K 3/4 X 1.20MM",822,9,592429.00,870870.00,0.00,Inklusif,11.00,1,10000,BRASSCO,675298.00,251.00,0.00,1.00
PTBB022100,"category,cost,biaya",CAB-PTBB022100,"BRASSCO PIPA TEMBAGA ASTM B280 7/8 X 1MM",514,9,498863.00,862785.00,0.00,Inklusif,11.00,1,1,NONE,739800.00,9.00,12.00,1.00
PTBB022100,"category,cost,biaya",CAB-PTBB022100-DUP2-R12243,"BRASSCO PIPA TEMBAGA ASTM B280 7/8 X 1MM",822,9,499068.00,862785.00,0.00,Inklusif,11.00,1,1,NONE,566442.00,137.00,4.00,1.00
ptbb067122,"category,cost,biaya",CAB-ptbb067122,"BRASSCO PIPA TEMBAGA ASTM B280 2 5/8 X 1.20MM",514,9,1854894.00,3194625.00,0.00,Inklusif,11.00,1,10000,BRASSCO,2105305.00,0.00,0.00,1.00
ptbb067122,"category,cost,biaya",CAB-ptbb067122-DUP2-R12334,"BRASSCO PIPA TEMBAGA ASTM B280 2 5/8 X 1.20MM",822,9,2016499.00,3194625.00,0.00,Inklusif,11.00,1,10000,BRASSCO,2288726.00,16.00,0.00,1.00
