target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001002009120,"category,cost,biaya",2,CAB-001002009120 || CAB-001002009120-DUP2-R14107,COPPER TUBE ASTM B280 3/8 X 1.20 MM || COPPER TUBE ASTM B280 3/8 X 1.20 MM,640 || 7,310417.00 || 325080.00,48.00,0.00,CAB-001002009120,640,310417.00,APPROVE,CAB-001002009120,640,310417.00,Selected from 25-item shortlist
001002016120,"category,cost,biaya",2,CAB-001002016120 || CAB-001002016120-DUP2-R14123,COPPER TUBE ASTM B280 5/8 X TYPE K || COPPER TUBE ASTM B280 5/8 X TYPE K,640 || 7,613890.00 || 534583.00,49.00,6.00,CAB-001002016120,640,613890.00,APPROVE,CAB-001002016120,640,613890.00,Selected from 25-item shortlist
001004006056,"category,cost,biaya",2,CAB-001004006056 || CAB-001004006056-DUP2-R14155,COPPER TUBE ASTM B280 ROL 1/4 X 0.56 MM || COPPER TUBE ASTM B280 ROL 1/4 X 0.56 MM,640 || 7,292230.00 || 225000.00,122.00,28.00,CAB-001004006056,640,292230.00,APPROVE,CAB-001004006056,640,292230.00,Selected from 25-item shortlist
001004009100,"category,cost,biaya",2,CAB-001004009100 || CAB-001004009100-DUP2-R14177,COPPER TUBE ASTM B280 ROL 3/8 X 1.00 MM || COPPER TUBE ASTM B280 ROL 3/8 X 1.00 MM,640 || 7,939960.00 || 813000.00,3.00,4.00,CAB-001004009100,640,939960.00,,,,,
002001000035,"category,cost,biaya",2,CAB-002001000035 || CAB-002001000035-DUP2-R13930,COPPER TEE 1 3/8 || COPPER TEE 1 3/8,635 || 309,74800.00 || 62333.00,415.00,9.00,CAB-002001000035,635,74800.00,APPROVE,CAB-002001000035,635,74800.00,Selected from 25-item shortlist
002003000054,"category,cost,biaya",2,CAB-002003000054 || CAB-002003000054-DUP2-R13696,COPPER ELBO 2 1/8 || COPPER ELBO 2 1/8,635 || 309,131750.00 || 130200.00,0.00,0.00,CAB-002003000054,635,131750.00,APPROVE,CAB-002003000054,635,131750.00,Selected from 25-item shortlist
002004000042,"category,cost,biaya",2,CAB-002004000042 || CAB-002004000042-DUP2-R13656,COPPER 45D ELBO 1 5/8 || COPPER 45D ELBO 1 5/8,635 || 309,132600.00 || 131040.00,0.00,0.00,CAB-002004000042,635,132600.00,APPROVE,CAB-002004000042,635,132600.00,Selected from 25-item shortlist
002008020022,"category,cost,biaya",2,CAB-002008020022 || CAB-002008020022-DUP2-R13774,COPPER MALE UNION 3/4 X 7/8 || COPPER MALE UNION 3/4 X 7/8,635 || 309,157675.00 || 156240.00,466.00,0.00,CAB-002008020022,635,157675.00,APPROVE,CAB-002008020022,635,157675.00,Selected from 25-item shortlist
002013013009,"category,cost,biaya",2,CAB-002013013009 || CAB-002013013009-DUP2-R13978,COPPER TEE REDUCER 1/2 X 3/8 || COPPER TEE REDUCER 1/2 X 3/8,635 || 309,23241.00 || 24583.00,1.00,0.00,CAB-002013013009,635,23241.00,APPROVE,CAB-002013013009,635,23241.00,Selected from 25-item shortlist
002014032035,"category,cost,biaya",2,CAB-002014032035 || CAB-002014032035-DUP2-R13913,COPPER SOK DRAT LUAR PIPA 1 1/4 X 1 3/8 || COPPER SOK DRAT LUAR PIPA 1 1/4 X 1 3/8,635 || 309,71400.00 || 70560.00,224.00,13.00,CAB-002014032035,635,71400.00,APPROVE,CAB-002014032035,635,71400.00,Selected from 25-item shortlist
002014042040,"category,cost,biaya",2,CAB-002014042040 || CAB-002014042040-DUP2-R13915,COPPER SOK DRAT LUAR PIPA 1 5/8 X DRAT 1 1/2 || COPPER SOK DRAT LUAR PIPA 1 5/8 X DRAT 1 1/2,635 || 309,102850.00 || 101640.00,331.00,11.00,CAB-002014042040,635,102850.00,APPROVE,CAB-002014042040,635,102850.00,Selected from 25-item shortlist
002017022016,"category,cost,biaya",2,CAB-002017022016 || CAB-002017022016-DUP2-R13863,COPPER REDUCER 7/8 X 5/8 || COPPER REDUCER 7/8 X 5/8,635 || 309,18275.00 || 17917.00,1851.00,7.00,CAB-002017022016,635,18275.00,APPROVE,CAB-002017022016,635,18275.00,Selected from 25-item shortlist
002017035028,"category,cost,biaya",2,CAB-002017035028 || CAB-002017035028-DUP2-R13792,COPPER REDUCER 1 3/8 X 1 1/8 || COPPER REDUCER 1 3/8 X 1 1/8,635 || 309,38675.00 || 38220.00,0.00,0.00,CAB-002017035028,635,38675.00,APPROVE,CAB-002017035028,635,38675.00,Selected from 25-item shortlist
002017042019,"category,cost,biaya",2,CAB-002017042019 || CAB-002017042019-DUP2-R13806,COPPER REDUCER 1 5/8 X 3/4 || COPPER REDUCER 1 5/8 X 3/4,635 || 309,77917.00 || 79800.00,85.00,0.00,CAB-002017042019,635,77917.00,APPROVE,CAB-002017042019,635,77917.00,Selected from 25-item shortlist
002017042035,"category,cost,biaya",2,CAB-002017042035 || CAB-002017042035-DUP2-R13804,COPPER REDUCER 1 5/8 X 1 3/8 || COPPER REDUCER 1 5/8 X 1 3/8,635 || 309,57375.00 || 36500.00,0.00,0.00,CAB-002017042035,635,57375.00,APPROVE,CAB-002017042035,635,57375.00,Selected from 25-item shortlist
