target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
002001000019,"category,cost,bulk_sell_qty,biaya",2,"CAB-002001000019 || CAB-002001000019-DUP2-R13949","COPPER TEE 3/4'' || COPPER TEE 3/4","635 || 309","20825.00 || 17354.00",1203.00,111.00,CAB-002001000019,635,20825.00,APPROVE,CAB-002001000019,635,20825.00,"Auto-prefilled from approval recommendations"
002001000022,"category,cost,bulk_sell_qty,biaya",2,"CAB-002001000022 || CAB-002001000022-DUP2-R13651","COOPER TEE 7/8'' || COOPER TEE 7/8","635 || 309","27285.00 || 23021.00",6.00,7.00,CAB-002001000022,635,27285.00,APPROVE,CAB-002001000022,635,27285.00,"Auto-prefilled from approval recommendations"
002001000025,"category,cost,bulk_sell_qty,biaya",2,"CAB-002001000025 || CAB-002001000025-DUP2-R13934","COPPER TEE 1'' || COPPER TEE 1","635 || 309","42160.00 || 35417.00",311.00,69.00,CAB-002001000025,635,42160.00,APPROVE,CAB-002001000025,635,42160.00,"Auto-prefilled from approval recommendations"
002003000009,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000009 || CAB-002003000009-DUP2-R13706","COPPER ELBO 3/8'' || COPPER ELBO 3/8","635 || 309","5610.00 || 5950.00",4871.00,294.00,CAB-002003000009,635,5610.00,APPROVE,CAB-002003000009,635,5610.00,"Auto-prefilled from approval recommendations"
002003000013,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000013 || CAB-002003000013-DUP2-R13691","COPPER ELBO 1/2'' || COPPER ELBO 1/2","412 || 309","6480.00 || 5313.00",233.00,287.00,CAB-002003000013,412,6480.00,APPROVE,CAB-002003000013,412,6480.00,"Auto-prefilled from approval recommendations"
002003000016,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000016 || CAB-002003000016-DUP2-R13720","COPPER ELBO 5/8'' || COPPER ELBO 5/8","635 || 309","6460.00 || 6800.00",17974.00,644.00,CAB-002003000016,635,6460.00,APPROVE,CAB-002003000016,635,6460.00,"Auto-prefilled from approval recommendations"
002003000019,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000019 || CAB-002003000019-DUP2-R13704","COPPER ELBO 3/4'' || COPPER ELBO 3/4","635 || 309","11900.00 || 4814.00",13291.00,385.00,CAB-002003000019,635,11900.00,APPROVE,CAB-002003000019,635,11900.00,"Auto-prefilled from approval recommendations"
002003000022,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000022 || CAB-002003000022-DUP2-R13723","COPPER ELBO 7/8'' || COPPER ELBO 7/8","635 || 309","14280.00 || 14450.00",6362.00,351.00,CAB-002003000022,635,14280.00,APPROVE,CAB-002003000022,635,14280.00,"Auto-prefilled from approval recommendations"
002003000025,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000025 || CAB-002003000025-DUP2-R13689","COPPER ELBO 1'' || COPPER ELBO 1","635 || 309","22270.00 || 18771.00",70.00,96.00,CAB-002003000025,635,22270.00,APPROVE,CAB-002003000025,635,22270.00,"Auto-prefilled from approval recommendations"
002003000028,"category,cost,bulk_sell_qty,biaya",2,"CAB-002003000028 || CAB-002003000028-DUP2-R13684","COPPER ELBO 1 1/8'' || COPPER ELBO 1 1/8","635 || 309","23885.00 || 23750.00",5096.00,419.00,CAB-002003000028,635,23885.00,APPROVE,CAB-002003000028,635,23885.00,"Auto-prefilled from approval recommendations"
002005000016,"category,cost,bulk_sell_qty,biaya",2,"CAB-002005000016 || CAB-002005000016-DUP2-R13895","COPPER SOK 5/8'' || COPPER SOK 5/8","635 || 309","5695.00 || 5950.00",9812.00,394.00,CAB-002005000016,635,5695.00,APPROVE,CAB-002005000016,635,5695.00,"Auto-prefilled from approval recommendations"
002005000019,"category,cost,bulk_sell_qty,biaya",2,"CAB-002005000019 || CAB-002005000019-DUP2-R13890","COPPER SOK 3/4'' || COPPER SOK 3/4","635 || 309","7225.00 || 2889.00",7163.00,337.00,CAB-002005000019,635,7225.00,APPROVE,CAB-002005000019,635,7225.00,"Auto-prefilled from approval recommendations"
002005000022,"category,cost,bulk_sell_qty,biaya",2,"CAB-002005000022 || CAB-002005000022-DUP2-R13897","COPPER SOK 7/8'' || COPPER SOK 7/8","635 || 309","11305.00 || 11475.00",13754.00,224.00,CAB-002005000022,635,11305.00,APPROVE,CAB-002005000022,635,11305.00,"Auto-prefilled from approval recommendations"
002005000025,"category,cost,bulk_sell_qty,biaya",2,"CAB-002005000025 || CAB-002005000025-DUP2-R13876","COPPER SOK 1 || COPPER SOK 1","635 || 309","18275.00 || 12945.00",2015.00,81.00,CAB-002005000025,635,18275.00,APPROVE,CAB-002005000025,635,18275.00,"Auto-prefilled from approval recommendations"
002005000028,"category,cost,bulk_sell_qty,biaya",2,"CAB-002005000028 || CAB-002005000028-DUP2-R13878","COPPER SOK 1 1/8'' || COPPER SOK 1 1/8","635 || 309","19890.00 || 19583.00",4969.00,222.00,CAB-002005000028,635,19890.00,APPROVE,CAB-002005000028,635,19890.00,"Auto-prefilled from approval recommendations"
