target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
002001000019,"category,cost,bulk_sell_qty,biaya",CAB-002001000019,"COPPER TEE 3/4''",635,6,24500.00,24444.00,0.00,"Non Pajak",0.00,1,1,PSF,20825.00,58.00,111.00,1.00
002001000019,"category,cost,bulk_sell_qty,biaya",CAB-002001000019-DUP2-R13949,"COPPER TEE 3/4",309,6,17354.00,24444.00,0.00,"Non Pajak",0.00,1,10000,PSF,17354.00,1145.00,0.00,1.00
002001000022,"category,cost,bulk_sell_qty,biaya",CAB-002001000022,"COOPER TEE 7/8''",635,6,32100.00,32100.00,0.00,"Non Pajak",0.00,1,1,PS,27285.00,6.00,7.00,1.00
002001000022,"category,cost,bulk_sell_qty,biaya",CAB-002001000022-DUP2-R13651,"COOPER TEE 7/8",309,6,23021.00,32100.00,0.00,"Non Pajak",0.00,1,10000,PS,23021.00,0.00,0.00,1.00
002001000025,"category,cost,bulk_sell_qty,biaya",CAB-002001000025,"COPPER TEE 1''",635,6,49600.00,49560.00,0.00,"Non Pajak",0.00,1,1,PSF,42160.00,4.00,69.00,1.00
002001000025,"category,cost,bulk_sell_qty,biaya",CAB-002001000025-DUP2-R13934,"COPPER TEE 1",309,6,35417.00,49560.00,0.00,"Non Pajak",0.00,1,10000,PSF,35417.00,307.00,0.00,1.00
002003000009,"category,cost,bulk_sell_qty,biaya",CAB-002003000009,"COPPER ELBO 3/8''",635,6,6600.00,6581.00,0.00,"Non Pajak",0.00,1,1,PSF,5610.00,188.00,294.00,1.00
002003000009,"category,cost,bulk_sell_qty,biaya",CAB-002003000009-DUP2-R13706,"COPPER ELBO 3/8",309,6,5833.00,6581.00,0.00,"Non Pajak",0.00,1,10000,PSF,5950.00,4683.00,0.00,1.00
002003000013,"category,cost,bulk_sell_qty,biaya",CAB-002003000013,"COPPER ELBO 1/2''",412,6,7200.00,7118.00,0.00,"Non Pajak",0.00,1,1,PSF,6480.00,230.00,287.00,1.00
002003000013,"category,cost,bulk_sell_qty,biaya",CAB-002003000013-DUP2-R13691,"COPPER ELBO 1/2",309,6,5313.00,7118.00,0.00,"Non Pajak",0.00,1,10000,PSF,5313.00,3.00,0.00,1.00
002003000016,"category,cost,bulk_sell_qty,biaya",CAB-002003000016,"COPPER ELBO 5/8''",635,6,7600.00,7521.00,0.00,"Non Pajak",0.00,1,1,PS,6460.00,499.00,644.00,1.00
002003000016,"category,cost,bulk_sell_qty,biaya",CAB-002003000016-DUP2-R13720,"COPPER ELBO 5/8",309,6,5667.00,7521.00,0.00,"Non Pajak",0.00,1,10000,PS,6800.00,17475.00,0.00,1.00
002003000019,"category,cost,bulk_sell_qty,biaya",CAB-002003000019,"COPPER ELBO 3/4''",635,6,14000.00,13968.00,0.00,"Non Pajak",0.00,1,1,STD,11900.00,279.00,385.00,1.00
002003000019,"category,cost,bulk_sell_qty,biaya",CAB-002003000019-DUP2-R13704,"COPPER ELBO 3/4",309,6,4814.00,13968.00,0.00,"Non Pajak",0.00,1,10000,STD,4814.00,13012.00,0.00,1.00
002003000022,"category,cost,bulk_sell_qty,biaya",CAB-002003000022,"COPPER ELBO 7/8''",635,6,16800.00,16789.00,0.00,"Non Pajak",0.00,1,1,PS,14280.00,239.00,351.00,1.00
002003000022,"category,cost,bulk_sell_qty,biaya",CAB-002003000022-DUP2-R13723,"COPPER ELBO 7/8",309,6,12042.00,16789.00,0.00,"Non Pajak",0.00,1,10000,PS,14450.00,6123.00,0.00,1.00
002003000025,"category,cost,bulk_sell_qty,biaya",CAB-002003000025,"COPPER ELBO 1''",635,6,26200.00,26190.00,0.00,"Non Pajak",0.00,1,1,PS,22270.00,70.00,96.00,1.00
002003000025,"category,cost,bulk_sell_qty,biaya",CAB-002003000025-DUP2-R13689,"COPPER ELBO 1",309,6,18771.00,26190.00,0.00,"Non Pajak",0.00,1,10000,PS,18771.00,0.00,0.00,1.00
002003000028,"category,cost,bulk_sell_qty,biaya",CAB-002003000028,"COPPER ELBO 1 1/8''",635,6,28100.00,28071.00,0.00,"Non Pajak",0.00,1,1,PS,23885.00,320.00,379.00,1.00
002003000028,"category,cost,bulk_sell_qty,biaya",CAB-002003000028-DUP2-R13684,"COPPER ELBO 1 1/8",309,6,23750.00,28071.00,0.00,"Non Pajak",0.00,1,10000,PS,23750.00,4776.00,40.00,1.00
002005000016,"category,cost,bulk_sell_qty,biaya",CAB-002005000016,"COPPER SOK 5/8''",635,6,6700.00,6660.00,0.00,"Non Pajak",0.00,1,1,PS,5695.00,234.00,394.00,1.00
