target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001001019300,category,CAB-001001019300,"COPPER TUBE ASTM B819 HIGH PRESSURE 3/4 X 3MM",517,9,1000000.00,2037000.00,0.00,"Non Pajak",0.00,1,1,BCO,1000000.00,0.00,0.00,1.00
001001019300,category,CAB-001001019300-DUP2-R14201,"COPPER TUBE ASTM B819 HIGH PRESSURE 3/4 X 3MM",7,9,1000000.00,2037000.00,0.00,"Non Pajak",0.00,1,1,BCO,1000000.00,0.00,0.00,1.00
ACBB106009,category,CAB-ACBB106009,"BRASSCO PIPA SET ECER 1/4 0,61MM X 3/8 0.61MM",514,26,85000.00,116000.00,0.00,Inklusif,11.00,1,1,BRASSCO,99000.00,0.00,0.00,1.00
ACBB106009,category,CAB-ACBB106009-DUP2-R11091,"BRASSCO PIPA SET ECER 1/4 0,61MM X 3/8 0.61MM",942,26,85000.00,116000.00,0.00,Inklusif,11.00,1,1,BRASSCO,99000.00,0.00,0.00,1.00
ptbb006080,category,CAB-ptbb006080,"BRASSCO PIPA TEMBAGA ASTM B 88 TYPE K 1/4 X 0.81MM",353,4,100000.00,198450.00,0.00,Inklusif,11.00,1,1,BRASSCO,150000.00,0.00,0.00,1.00
ptbb006080,category,CAB-ptbb006080-DUP2-R12143,"BRASSCO PIPA TEMBAGA ASTM B 88 TYPE K 1/4 X 0.81MM",822,4,100000.00,198450.00,0.00,Inklusif,11.00,1,1,BRASSCO,150000.00,0.00,0.00,1.00
ptbb006089,category,CAB-ptbb006089,"BRASSCO PIPA TEMBAGA ASTM B280 1/4 X 0.89MM",353,9,103500.00,197610.00,0.00,Inklusif,11.00,1,10000,BRASSCO,103500.00,0.00,0.00,1.00
ptbb006089,category,CAB-ptbb006089-DUP2-R12147,"BRASSCO PIPA TEMBAGA ASTM B280 1/4 X 0.89MM",822,9,103500.00,197610.00,0.00,Inklusif,11.00,1,10000,BRASSCO,103500.00,0.00,0.00,1.00
PTBB008202,category,CAB-PTBB008202,"BRASSCO PIPA TEMBAGA ASTM B 819 8.00MM X 2.00MM",353,9,250320.00,552258.00,0.00,Inklusif,11.00,1,1,BRASSCO,289470.00,0.00,0.00,1.00
PTBB008202,category,CAB-PTBB008202-DUP2-R12159,"BRASSCO PIPA TEMBAGA ASTM B 819 8.00MM X 2.00MM",822,9,250320.00,552258.00,0.00,Inklusif,11.00,1,1,BRASSCO,289470.00,0.00,0.00,1.00
PTBB019092,category,CAB-PTBB019092,"BRASSCO PIPA TEMBAGA ASTM B819 3/4 X 0,91MM",353,9,505632.00,671160.00,0.00,Inklusif,11.00,1,1,BRASSCO,505632.00,0.00,0.00,1.00
PTBB019092,category,CAB-PTBB019092-DUP2-R12223,"BRASSCO PIPA TEMBAGA ASTM B819 3/4 X 0,91MM",822,9,505632.00,671160.00,0.00,Inklusif,11.00,1,1,BRASSCO,505632.00,0.00,0.00,1.00
ptrb006040,category,CAB-ptrb006040,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.40MM",514,30,105600.00,250320.00,0.00,Inklusif,11.00,1,10000,BRASSCO,105600.00,0.00,0.00,1.00
ptrb006040,category,CAB-ptrb006040-DUP2-R12375,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.40MM",941,30,105600.00,250320.00,0.00,Inklusif,11.00,1,10000,BRASSCO,105600.00,0.00,0.00,1.00
ptrb006050,category,CAB-ptrb006050,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.53MM",514,30,110000.00,308175.00,0.00,Inklusif,11.00,1,10000,BRASSCO,110000.00,0.00,0.00,1.00
ptrb006050,category,CAB-ptrb006050-DUP2-R12377,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/4 x 0.53MM",941,30,110000.00,308175.00,0.00,Inklusif,11.00,1,10000,BRASSCO,110000.00,0.00,0.00,1.00
ptrb008050,category,CAB-ptrb008050,"BRASSCO PIPA TEMBAGA ROL ASTM B280 5/16 x 0.45MM",514,30,195216.00,354480.00,0.00,Inklusif,11.00,1,10000,BRASSCO,221571.00,0.00,22.00,1.00
ptrb008050,category,CAB-ptrb008050-DUP2-R12387,"BRASSCO PIPA TEMBAGA ROL ASTM B280 5/16 x 0.45MM",941,30,195216.00,354480.00,0.00,Inklusif,11.00,1,10000,BRASSCO,221571.00,256.00,0.00,1.00
ptrb009050,category,CAB-ptrb009050,"BRASSCO PIPA TEMBAGA ROL ASTM B280 3/8 x 0.50MM",514,30,175000.00,498305.00,0.00,Inklusif,11.00,1,10000,BRASSCO,175000.00,0.00,0.00,1.00
ptrb009050,category,CAB-ptrb009050-DUP2-R12392,"BRASSCO PIPA TEMBAGA ROL ASTM B280 3/8 x 0.50MM",941,30,175000.00,498305.00,0.00,Inklusif,11.00,1,10000,BRASSCO,175000.00,0.00,0.00,1.00
ptrb013050,category,CAB-ptrb013050,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/2 x 0.50MM",514,30,317000.00,641445.00,0.00,Inklusif,11.00,1,10000,BRASSCO,317000.00,0.00,0.00,1.00
ptrb013050,category,CAB-ptrb013050-DUP2-R12402,"BRASSCO PIPA TEMBAGA ROL ASTM B280 1/2 x 0.50MM",941,30,317000.00,641445.00,0.00,Inklusif,11.00,1,10000,BRASSCO,317000.00,0.00,0.00,1.00
