target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001005060912,"category,qty_min",2,"CAB-001005060912 || CAB-001005060912-DUP2-R16894","PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m || PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m","640 || 7","500000.00 || 500000.00",0.00,0.00,CAB-001005060912,640,500000.00,APPROVE,CAB-001005060912,640,500000.00,"Auto-prefilled from approval recommendations"
001005060932,"category,qty_min",2,"CAB-001005060932 || CAB-001005060932-DUP2-R16895","PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m || PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m","640 || 7","750000.00 || 750000.00",0.00,0.00,CAB-001005060932,640,750000.00,APPROVE,CAB-001005060932,640,750000.00,"Auto-prefilled from approval recommendations"
001005060933,"category,qty_min",2,"CAB-001005060933 || CAB-001005060933-DUP2-R16900","PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30M || PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30M","517 || 198","0.00 || 0.00",1.00,1.00,CAB-001005060933,517,0.00,APPROVE,CAB-001005060933,517,0.00,"Auto-prefilled from approval recommendations"
001005061312,"category,qty_min",2,"CAB-001005061312 || CAB-001005061312-DUP2-R16892","PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M || PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M","640 || 7","550000.00 || 550000.00",0.00,0.00,CAB-001005061312,640,550000.00,APPROVE,CAB-001005061312,640,550000.00,"Auto-prefilled from approval recommendations"
001005061313,"category,qty_min",2,"CAB-001005061313 || CAB-001005061313-DUP2-R16909","PIPA SET 1/4'' T0.61mm + 1/2'' T0.61mm X 15M || PIPA SET 1/4 T0.61mm + 1/2 T0.61mm X 15M","517 || 198","891000.00 || 891000.00",0.00,0.00,CAB-001005061313,517,891000.00,APPROVE,CAB-001005061313,517,891000.00,"Auto-prefilled from approval recommendations"
001005061314,"category,qty_min",2,"CAB-001005061314 || CAB-001005061314-DUP2-R16903","PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 15M || PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 15M","640 || 7","1139345.00 || 1139345.00",0.00,0.00,CAB-001005061314,640,1139345.00,APPROVE,CAB-001005061314,640,1139345.00,"Auto-prefilled from approval recommendations"
001005061332,"category,qty_min",2,"CAB-001005061332 || CAB-001005061332-DUP2-R16893","PIPA SET 1/4 T0.45mm + 1/2 T0.56MM X 30M || PIPA SET 1/4 T0.45mm + 1/2 T0.56MM X 30M","640 || 7","1067400.00 || 1067400.00",0.00,0.00,CAB-001005061332,640,1067400.00,APPROVE,CAB-001005061332,640,1067400.00,"Auto-prefilled from approval recommendations"
001005061334,"category,qty_min",2,"CAB-001005061334 || CAB-001005061334-DUP2-R16904","PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 30M || PIPA SET 1/4 T0.76MM + 1/2 T0.81MM X 30M","640 || 7","2278690.00 || 2278690.00",0.00,0.00,CAB-001005061334,640,2278690.00,APPROVE,CAB-001005061334,640,2278690.00,"Auto-prefilled from approval recommendations"
001005061612,"category,qty_min",2,"CAB-001005061612 || CAB-001005061612-DUP2-R16896","PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 15M || PIPA SET 1/4 T0.56MM + 5/8 T0.71MM X 15M","640 || 7","850000.00 || 850000.00",0.00,0.00,CAB-001005061612,640,850000.00,APPROVE,CAB-001005061612,640,850000.00,"Auto-prefilled from approval recommendations"
001005061614,"category,qty_min",2,"CAB-001005061614 || CAB-001005061614-DUP2-R16907","PIPA SET 1/4 T0.76MM + 5/8 T0.89MM X 15M || PIPA SET 1/4 T0.76MM + 5/8 T0.89MM X 15M","640 || 7","1423054.00 || 1423054.00",0.00,0.00,CAB-001005061614,640,1423054.00,APPROVE,CAB-001005061614,640,1423054.00,"Auto-prefilled from approval recommendations"
