target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001005060912,"category,qty_min",CAB-001005060912,"PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m",640,30,500000.00,720300.00,0.00,"Non Pajak",0.00,1,10000,,500000.00,0.00,0.00,1.00
001005060912,"category,qty_min",CAB-001005060912-DUP2-R16894,"PIPA SET 1/4 T0.45mm + 3/8 T0.56mm x 15m",7,30,500000.00,720300.00,0.00,"Non Pajak",0.00,1,10000,,500000.00,0.00,0.00,0.00
001005060932,"category,qty_min",CAB-001005060932,"PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m",640,30,750000.00,1079400.00,0.00,"Non Pajak",0.00,1,10000,,750000.00,0.00,0.00,1.00
001005060932,"category,qty_min",CAB-001005060932-DUP2-R16895,"PIPA SET 1/4 T0.45mm + 3/8 T0.56mm X 30m",7,30,750000.00,1079400.00,0.00,"Non Pajak",0.00,1,10000,,750000.00,0.00,0.00,0.00
001005060933,"category,qty_min",CAB-001005060933,"PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30M",517,30,0.00,1961820.00,0.00,"Non Pajak",0.00,1,1,BCO,0.00,1.00,1.00,1.00
001005060933,"category,qty_min",CAB-001005060933-DUP2-R16900,"PIPA SET 1/4 T0.61mm + 3/8 T0.61mm X 30M",198,30,0.00,1961820.00,0.00,"Non Pajak",0.00,1,1,BCO,0.00,0.00,0.00,0.00
001005061312,"category,qty_min",CAB-001005061312,"PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M",640,30,550000.00,1100207.00,0.00,"Non Pajak",0.00,1,10000,,550000.00,0.00,0.00,1.00
001005061312,"category,qty_min",CAB-001005061312-DUP2-R16892,"PIPA SET 1/4 T0.45MM + 1/2 T0.56MM X 15M",7,30,550000.00,1100207.00,0.00,"Non Pajak",0.00,1,10000,,550000.00,0.00,0.00,0.00
001005061313,"category,qty_min",CAB-001005061313,"PIPA SET 1/4'' T0.61mm + 1/2'' T0.61mm X 15M",517,30,890000.00,1178226.00,0.00,"Non Pajak",0.00,1,1,BCO,891000.00,0.00,0.00,1.00
001005061313,"category,qty_min",CAB-001005061313-DUP2-R16909,"PIPA SET 1/4 T0.61mm + 1/2 T0.61mm X 15M",198,30,890000.00,1178226.00,0.00,"Non Pajak",0.00,1,1,BCO,891000.00,0.00,0.00,0.00
